,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-03-04T13:30:03.360+01:00,   0.289E-01,  48.02887
      2,2020-03-04T13:30:04.643+01:00,   0.289E-01,  48.05774
      3,2020-03-04T13:30:05.871+01:00,   0.289E-01,  48.08660
      4,2020-03-04T13:30:07.150+01:00,   0.289E-01,  48.11547
      5,2020-03-04T13:30:08.500+01:00,   0.289E-01,  48.14434
      6,2020-03-04T13:30:09.851+01:00,   0.289E-01,  48.17321
      7,2020-03-04T13:30:11.764+01:00,   0.227E-01,  48.19586
      8,2020-03-04T13:30:13.343+01:00,   0.227E-01,  48.21851
      9,2020-03-04T13:30:14.762+01:00,   0.227E-01,  48.24116
     10,2020-03-04T13:30:16.251+01:00,   0.249E-01,  48.26607
     20,2020-03-04T13:30:31.288+01:00,   0.130E-01,  48.44481
     30,2020-03-04T13:30:47.184+01:00,   0.771E-02,  48.53518
     40,2020-03-04T13:31:02.047+01:00,   0.614E-02,  48.60377
     50,2020-03-04T13:31:17.052+01:00,   0.547E-02,  48.66448
     60,2020-03-04T13:31:32.006+01:00,   0.471E-02,  48.71691
     70,2020-03-04T13:31:46.943+01:00,   0.421E-02,  48.75997
     80,2020-03-04T13:32:01.637+01:00,   0.375E-02,  48.80112
     90,2020-03-04T13:32:16.944+01:00,   0.308E-02,  48.83594
    100,2020-03-04T13:32:32.157+01:00,   0.267E-02,  48.86301
    200,2020-03-04T13:35:01.465+01:00,   0.186E-02,  49.06081
    300,2020-03-04T13:37:30.681+01:00,   0.206E-02,  49.26393
    400,2020-03-04T13:40:00.733+01:00,   0.199E-02,  49.43648
    500,2020-03-04T13:42:31.227+01:00,   0.171E-02,  49.63107
    600,2020-03-04T13:45:03.457+01:00,   0.142E-02,  49.80878
    700,2020-03-04T13:47:34.295+01:00,   0.182E-02,  49.99198
    705,2020-03-04T13:47:42.490+01:00,   0.144E-02,  50.00000
