s,kW,
Time,"MY NET HF","TOTAL ENERGY ABORBED"
 5.0100904E+001, 0.0000000E+000, 0.0000000E+000
 5.0120406E+001, 0.0000000E+000, 0.0000000E+000
 5.0140175E+001, 0.0000000E+000, 0.0000000E+000
 5.0160516E+001, 0.0000000E+000, 0.0000000E+000
 5.0180952E+001, 0.0000000E+000, 0.0000000E+000
 5.0200222E+001, 0.0000000E+000, 0.0000000E+000
 5.0220563E+001, 0.0000000E+000, 0.0000000E+000
 5.0240903E+001, 0.0000000E+000, 0.0000000E+000
 5.0260173E+001, 0.0000000E+000, 0.0000000E+000
 5.0280728E+001, 0.0000000E+000, 0.0000000E+000
 5.0300748E+001, 0.0000000E+000, 0.0000000E+000
 5.0320767E+001, 0.0000000E+000, 0.0000000E+000
 5.0340787E+001, 0.0000000E+000, 0.0000000E+000
 5.0360806E+001, 0.0000000E+000, 0.0000000E+000
 5.0380826E+001, 0.0000000E+000, 0.0000000E+000
 5.0400845E+001, 0.0000000E+000, 0.0000000E+000
 5.0420864E+001, 0.0000000E+000, 0.0000000E+000
 5.0440884E+001, 0.0000000E+000, 0.0000000E+000
 5.0460903E+001, 0.0000000E+000, 0.0000000E+000
 5.0480923E+001, 0.0000000E+000, 0.0000000E+000
 5.0500942E+001, 0.0000000E+000, 0.0000000E+000
 5.0520962E+001, 0.0000000E+000, 0.0000000E+000
 5.0540981E+001, 0.0000000E+000, 0.0000000E+000
 5.0561001E+001, 0.0000000E+000, 0.0000000E+000
 5.0581020E+001, 0.0000000E+000, 0.0000000E+000
 5.0601040E+001, 0.0000000E+000, 0.0000000E+000
 5.0621059E+001, 0.0000000E+000, 0.0000000E+000
 5.0641079E+001, 0.0000000E+000, 0.0000000E+000
 5.0661098E+001, 0.0000000E+000, 0.0000000E+000
 5.0681117E+001, 0.0000000E+000, 0.0000000E+000
 5.0701137E+001, 0.0000000E+000, 0.0000000E+000
 5.0721156E+001, 0.0000000E+000, 0.0000000E+000
 5.0741176E+001, 0.0000000E+000, 0.0000000E+000
 5.0760018E+001, 0.0000000E+000, 0.0000000E+000
 5.0780037E+001, 0.0000000E+000, 0.0000000E+000
 5.0800057E+001, 0.0000000E+000, 0.0000000E+000
 5.0820076E+001, 0.0000000E+000, 0.0000000E+000
 5.0840096E+001, 0.0000000E+000, 0.0000000E+000
 5.0860115E+001, 0.0000000E+000, 0.0000000E+000
 5.0880134E+001, 0.0000000E+000, 0.0000000E+000
 5.0900154E+001, 0.0000000E+000, 0.0000000E+000
 5.0920173E+001, 0.0000000E+000, 0.0000000E+000
 5.0940193E+001, 0.0000000E+000, 0.0000000E+000
 5.0960212E+001, 0.0000000E+000, 0.0000000E+000
 5.0980232E+001, 0.0000000E+000, 0.0000000E+000
 5.1000251E+001, 0.0000000E+000, 0.0000000E+000
 5.1020271E+001, 0.0000000E+000, 0.0000000E+000
 5.1040290E+001, 0.0000000E+000, 0.0000000E+000
 5.1060310E+001, 0.0000000E+000, 0.0000000E+000
 5.1080329E+001, 0.0000000E+000, 0.0000000E+000
 5.1100349E+001, 0.0000000E+000, 0.0000000E+000
 5.1120368E+001, 0.0000000E+000, 0.0000000E+000
 5.1140387E+001, 0.0000000E+000, 0.0000000E+000
 5.1160407E+001, 0.0000000E+000, 0.0000000E+000
 5.1180426E+001, 0.0000000E+000, 0.0000000E+000
 5.1200446E+001, 0.0000000E+000, 0.0000000E+000
 5.1220465E+001, 0.0000000E+000, 0.0000000E+000
 5.1240485E+001, 0.0000000E+000, 0.0000000E+000
 5.1260504E+001, 0.0000000E+000, 0.0000000E+000
 5.1280524E+001, 0.0000000E+000, 0.0000000E+000
 5.1300543E+001, 0.0000000E+000, 0.0000000E+000
 5.1320563E+001, 0.0000000E+000, 0.0000000E+000
 5.1340582E+001, 0.0000000E+000, 0.0000000E+000
 5.1360602E+001, 0.0000000E+000, 0.0000000E+000
 5.1380621E+001, 0.0000000E+000, 0.0000000E+000
 5.1400640E+001, 0.0000000E+000, 0.0000000E+000
 5.1420660E+001, 0.0000000E+000, 0.0000000E+000
 5.1440679E+001, 0.0000000E+000, 0.0000000E+000
 5.1460699E+001, 0.0000000E+000, 0.0000000E+000
 5.1480718E+001, 0.0000000E+000, 0.0000000E+000
 5.1500738E+001, 0.0000000E+000, 0.0000000E+000
 5.1520757E+001, 0.0000000E+000, 0.0000000E+000
 5.1540777E+001, 0.0000000E+000, 0.0000000E+000
 5.1560796E+001, 0.0000000E+000, 0.0000000E+000
 5.1580816E+001, 0.0000000E+000, 0.0000000E+000
 5.1600835E+001, 0.0000000E+000, 0.0000000E+000
 5.1620855E+001, 0.0000000E+000, 0.0000000E+000
 5.1640874E+001, 0.0000000E+000, 0.0000000E+000
 5.1660893E+001, 0.0000000E+000, 0.0000000E+000
 5.1680913E+001, 0.0000000E+000, 0.0000000E+000
 5.1700932E+001, 0.0000000E+000, 0.0000000E+000
 5.1720952E+001, 0.0000000E+000, 0.0000000E+000
 5.1740971E+001, 0.0000000E+000, 0.0000000E+000
 5.1760991E+001, 0.0000000E+000, 0.0000000E+000
