,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-03-04T13:39:55.332+01:00,   0.289E-01,  48.02887
      2,2020-03-04T13:39:57.032+01:00,   0.289E-01,  48.05774
      3,2020-03-04T13:39:58.713+01:00,   0.289E-01,  48.08660
      4,2020-03-04T13:40:00.635+01:00,   0.289E-01,  48.11547
      5,2020-03-04T13:40:02.399+01:00,   0.289E-01,  48.14434
      6,2020-03-04T13:40:04.153+01:00,   0.289E-01,  48.17321
      7,2020-03-04T13:40:06.755+01:00,   0.227E-01,  48.19586
      8,2020-03-04T13:40:08.585+01:00,   0.227E-01,  48.21851
      9,2020-03-04T13:40:10.410+01:00,   0.227E-01,  48.24116
     10,2020-03-04T13:40:12.259+01:00,   0.249E-01,  48.26607
     20,2020-03-04T13:40:33.102+01:00,   0.130E-01,  48.44481
     30,2020-03-04T13:40:54.605+01:00,   0.771E-02,  48.53518
     40,2020-03-04T13:41:15.004+01:00,   0.614E-02,  48.60377
     50,2020-03-04T13:41:34.797+01:00,   0.547E-02,  48.66448
     60,2020-03-04T13:41:54.376+01:00,   0.471E-02,  48.71691
     70,2020-03-04T13:42:14.155+01:00,   0.421E-02,  48.75997
     80,2020-03-04T13:42:33.973+01:00,   0.375E-02,  48.80112
     90,2020-03-04T13:42:53.917+01:00,   0.308E-02,  48.83594
    100,2020-03-04T13:43:14.342+01:00,   0.267E-02,  48.86301
    200,2020-03-04T13:46:31.379+01:00,   0.186E-02,  49.06081
    300,2020-03-04T13:49:47.997+01:00,   0.206E-02,  49.26393
    400,2020-03-04T13:53:05.887+01:00,   0.199E-02,  49.43648
    500,2020-03-04T13:56:23.828+01:00,   0.171E-02,  49.63107
    600,2020-03-04T13:59:44.171+01:00,   0.142E-02,  49.80878
    700,2020-03-04T14:03:01.459+01:00,   0.182E-02,  49.99198
    705,2020-03-04T14:03:11.991+01:00,   0.144E-02,  50.00000
