s,status
Time,"MY PID"
 5.0941116E+001,-1
 5.0952637E+001,-1
 5.0964161E+001,-1
 5.0976837E+001,-1
 5.0988361E+001,-1
 5.1001038E+001,-1
 5.1012562E+001,-1
 5.1024086E+001,-1
 5.1036762E+001,-1
 5.1048286E+001,-1
 5.1060963E+001,-1
 5.1072487E+001,-1
 5.1084011E+001,-1
 5.1096687E+001,-1
 5.1108212E+001,-1
 5.1120888E+001,-1
 5.1132412E+001,-1
 5.1145088E+001,-1
 5.1156612E+001,-1
 5.1168133E+001,-1
 5.1180809E+001,-1
 5.1192333E+001,-1
 5.1205009E+001,-1
 5.1216534E+001,-1
 5.1228058E+001,-1
 5.1240734E+001,-1
 5.1252258E+001,-1
 5.1264935E+001,-1
 5.1276459E+001,-1
 5.1289135E+001,-1
 5.1300659E+001,-1
 5.1312183E+001,-1
 5.1324860E+001,-1
 5.1336384E+001,-1
 5.1349060E+001,-1
 5.1360584E+001,-1
 5.1372108E+001,-1
 5.1384785E+001,-1
 5.1396305E+001,-1
 5.1408981E+001,-1
 5.1420506E+001,-1
 5.1432030E+001,-1
 5.1444706E+001,-1
 5.1456230E+001,-1
 5.1468906E+001,-1
 5.1480431E+001,-1
 5.1493107E+001,-1
 5.1504631E+001,-1
 5.1516155E+001,-1
 5.1528831E+001,-1
 5.1540356E+001,-1
 5.1553032E+001,-1
 5.1564556E+001,-1
 5.1576080E+001,-1
 5.1588757E+001,-1
 5.1600281E+001,-1
 5.1612957E+001,-1
 5.1624477E+001,-1
 5.1636002E+001,-1
 5.1648678E+001,-1
 5.1660202E+001,-1
 5.1672878E+001,-1
 5.1684143E+001,-1
 5.1696526E+001,-1
 5.1708038E+001,-1
 5.1720493E+001,-1
 5.1732296E+001,-1
 5.1744591E+001,-1
 5.1756710E+001,-1
 5.1768356E+001,-1
 5.1780624E+001,-1
 5.1792545E+001,-1
 5.1804539E+001,-1
 5.1816277E+001,-1
 5.1828381E+001,-1
 5.1840099E+001,-1
 5.1852600E+001,-1
 5.1864670E+001,-1
 5.1876717E+001,-1
 5.1888039E+001,-1
 5.1900131E+001,-1
 5.1912167E+001,-1
 5.1924637E+001,-1
 5.1936604E+001,-1
 5.1948513E+001,-1
 5.1960308E+001,-1
 5.1972519E+001,-1
 5.1984138E+001,-1
 5.1996696E+001,-1
 5.2008667E+001,-1
 5.2020248E+001,-1
 5.2032478E+001,-1
 5.2044937E+001,-1
 5.2056343E+001,-1
 5.2068180E+001,-1
 5.2080448E+001,-1
 5.2092464E+001,-1
 5.2104252E+001,-1
 5.2116447E+001,-1
 5.2128098E+001,-1
 5.2140305E+001,-1
 5.2152008E+001,-1
 5.2164562E+001,-1
 5.2176388E+001,-1
 5.2188168E+001,-1
 5.2200405E+001,-1
 5.2212303E+001,-1
