s,kW,
Time,"MY NET HF","TOTAL ENERGY ABORBED"
 5.0101030E+001, 0.0000000E+000, 0.0000000E+000
 5.0120386E+001, 0.0000000E+000, 0.0000000E+000
 5.0140493E+001, 0.0000000E+000, 0.0000000E+000
 5.0160797E+001, 0.0000000E+000, 0.0000000E+000
 5.0180652E+001, 0.0000000E+000, 0.0000000E+000
 5.0200289E+001, 0.0000000E+000, 0.0000000E+000
 5.0220126E+001, 0.0000000E+000, 0.0000000E+000
 5.0241065E+001, 0.0000000E+000, 0.0000000E+000
 5.0260902E+001, 0.0000000E+000, 0.0000000E+000
 5.0280739E+001, 0.0000000E+000, 0.0000000E+000
 5.0300575E+001, 0.0000000E+000, 0.0000000E+000
 5.0320412E+001, 0.0000000E+000, 0.0000000E+000
 5.0340249E+001, 0.0000000E+000, 0.0000000E+000
 5.0360086E+001, 0.0000000E+000, 0.0000000E+000
 5.0381025E+001, 0.0000000E+000, 0.0000000E+000
 5.0400862E+001, 0.0000000E+000, 0.0000000E+000
 5.0420699E+001, 0.0000000E+000, 0.0000000E+000
 5.0440536E+001, 0.0000000E+000, 0.0000000E+000
 5.0460373E+001, 0.0000000E+000, 0.0000000E+000
 5.0480209E+001, 0.0000000E+000, 0.0000000E+000
 5.0500046E+001, 0.0000000E+000, 0.0000000E+000
 5.0520985E+001, 0.0000000E+000, 0.0000000E+000
 5.0540822E+001, 0.0000000E+000, 0.0000000E+000
 5.0560659E+001, 0.0000000E+000, 0.0000000E+000
 5.0580496E+001, 0.0000000E+000, 0.0000000E+000
 5.0600333E+001, 0.0000000E+000, 0.0000000E+000
 5.0620170E+001, 0.0000000E+000, 0.0000000E+000
 5.0640007E+001, 0.0000000E+000, 0.0000000E+000
 5.0660945E+001, 0.0000000E+000, 0.0000000E+000
 5.0680782E+001, 0.0000000E+000, 0.0000000E+000
 5.0700619E+001, 0.0000000E+000, 0.0000000E+000
 5.0720456E+001, 0.0000000E+000, 0.0000000E+000
 5.0740293E+001, 0.0000000E+000, 0.0000000E+000
 5.0760130E+001, 0.0000000E+000, 0.0000000E+000
 5.0781069E+001, 0.0000000E+000, 0.0000000E+000
 5.0800906E+001, 0.0000000E+000, 0.0000000E+000
 5.0820743E+001, 0.0000000E+000, 0.0000000E+000
 5.0840579E+001, 0.0000000E+000, 0.0000000E+000
 5.0860416E+001, 0.0000000E+000, 0.0000000E+000
 5.0880253E+001, 0.0000000E+000, 0.0000000E+000
 5.0900090E+001, 0.0000000E+000, 0.0000000E+000
 5.0921029E+001, 0.0000000E+000, 0.0000000E+000
 5.0940866E+001, 0.0000000E+000, 0.0000000E+000
 5.0960703E+001, 0.0000000E+000, 0.0000000E+000
 5.0980540E+001, 0.0000000E+000, 0.0000000E+000
 5.1000377E+001, 0.0000000E+000, 0.0000000E+000
 5.1020434E+001, 0.0000000E+000, 0.0000000E+000
 5.1041042E+001, 0.0000000E+000, 0.0000000E+000
 5.1060438E+001, 0.0000000E+000, 0.0000000E+000
 5.1081047E+001, 0.0000000E+000, 0.0000000E+000
 5.1100443E+001, 0.0000000E+000, 0.0000000E+000
 5.1121051E+001, 0.0000000E+000, 0.0000000E+000
 5.1140447E+001, 0.0000000E+000, 0.0000000E+000
 5.1161055E+001, 0.0000000E+000, 0.0000000E+000
 5.1180451E+001, 0.0000000E+000, 0.0000000E+000
 5.1201060E+001, 0.0000000E+000, 0.0000000E+000
 5.1220456E+001, 0.0000000E+000, 0.0000000E+000
 5.1241064E+001, 0.0000000E+000, 0.0000000E+000
 5.1260460E+001, 0.0000000E+000, 0.0000000E+000
 5.1281068E+001, 0.0000000E+000, 0.0000000E+000
 5.1300464E+001, 0.0000000E+000, 0.0000000E+000
 5.1321073E+001, 0.0000000E+000, 0.0000000E+000
 5.1340469E+001, 0.0000000E+000, 0.0000000E+000
 5.1361077E+001, 0.0000000E+000, 0.0000000E+000
 5.1380473E+001, 0.0000000E+000, 0.0000000E+000
 5.1401082E+001, 0.0000000E+000, 0.0000000E+000
 5.1420478E+001, 0.0000000E+000, 0.0000000E+000
 5.1441086E+001, 0.0000000E+000, 0.0000000E+000
 5.1460482E+001, 0.0000000E+000, 0.0000000E+000
 5.1481090E+001, 0.0000000E+000, 0.0000000E+000
 5.1500486E+001, 0.0000000E+000, 0.0000000E+000
 5.1521095E+001, 0.0000000E+000, 0.0000000E+000
 5.1540491E+001, 0.0000000E+000, 0.0000000E+000
 5.1561099E+001, 0.0000000E+000, 0.0000000E+000
 5.1580495E+001, 0.0000000E+000, 0.0000000E+000
 5.1601103E+001, 0.0000000E+000, 0.0000000E+000
 5.1620500E+001, 0.0000000E+000, 0.0000000E+000
 5.1641108E+001, 0.0000000E+000, 0.0000000E+000
 5.1660504E+001, 0.0000000E+000, 0.0000000E+000
 5.1681112E+001, 0.0000000E+000, 0.0000000E+000
 5.1700508E+001, 0.0000000E+000, 0.0000000E+000
 5.1720961E+001, 0.0000000E+000, 0.0000000E+000
 5.1741034E+001, 0.0000000E+000, 0.0000000E+000
 5.1760051E+001, 0.0000000E+000, 0.0000000E+000
 5.1780124E+001, 0.0000000E+000, 0.0000000E+000
 5.1800197E+001, 0.0000000E+000, 0.0000000E+000
 5.1820059E+001, 0.0000000E+000, 0.0000000E+000
 5.1840977E+001, 0.0000000E+000, 0.0000000E+000
 5.1860734E+001, 0.0000000E+000, 0.0000000E+000
 5.1880490E+001, 0.0000000E+000, 0.0000000E+000
 5.1900246E+001, 0.0000000E+000, 0.0000000E+000
 5.1920002E+001, 0.0000000E+000, 0.0000000E+000
 5.1940921E+001, 0.0000000E+000, 0.0000000E+000
 5.1960677E+001, 0.0000000E+000, 0.0000000E+000
 5.1980433E+001, 0.0000000E+000, 0.0000000E+000
 5.2000189E+001, 0.0000000E+000, 0.0000000E+000
 5.2021108E+001, 0.0000000E+000, 0.0000000E+000
 5.2040864E+001, 0.0000000E+000, 0.0000000E+000
 5.2060620E+001, 0.0000000E+000, 0.0000000E+000
 5.2080376E+001, 0.0000000E+000, 0.0000000E+000
 5.2100133E+001, 0.0000000E+000, 0.0000000E+000
 5.2121051E+001, 0.0000000E+000, 0.0000000E+000
 5.2140807E+001, 0.0000000E+000, 0.0000000E+000
 5.2160563E+001, 0.0000000E+000, 0.0000000E+000
 5.2180320E+001, 0.0000000E+000, 0.0000000E+000
 5.2200076E+001, 0.0000000E+000, 0.0000000E+000
 5.2220994E+001, 0.0000000E+000, 0.0000000E+000
 5.2240751E+001, 0.0000000E+000, 0.0000000E+000
 5.2260507E+001, 0.0000000E+000, 0.0000000E+000
 5.2280263E+001, 0.0000000E+000, 0.0000000E+000
 5.2300019E+001, 0.0000000E+000, 0.0000000E+000
 5.2320938E+001, 0.0000000E+000, 0.0000000E+000
 5.2340694E+001, 0.0000000E+000, 0.0000000E+000
 5.2360450E+001, 0.0000000E+000, 0.0000000E+000
 5.2380206E+001, 0.0000000E+000, 0.0000000E+000
 5.2401125E+001, 0.0000000E+000, 0.0000000E+000
 5.2420881E+001, 0.0000000E+000, 0.0000000E+000
 5.2440637E+001, 0.0000000E+000, 0.0000000E+000
 5.2460393E+001, 0.0000000E+000, 0.0000000E+000
 5.2480150E+001, 0.0000000E+000, 0.0000000E+000
 5.2501068E+001, 0.0000000E+000, 0.0000000E+000
 5.2520824E+001, 0.0000000E+000, 0.0000000E+000
 5.2540580E+001, 0.0000000E+000, 0.0000000E+000
 5.2560337E+001, 0.0000000E+000, 0.0000000E+000
 5.2580093E+001, 0.0000000E+000, 0.0000000E+000
 5.2601011E+001, 0.0000000E+000, 0.0000000E+000
 5.2620768E+001, 0.0000000E+000, 0.0000000E+000
 5.2640524E+001, 0.0000000E+000, 0.0000000E+000
 5.2660280E+001, 0.0000000E+000, 0.0000000E+000
 5.2680036E+001, 0.0000000E+000, 0.0000000E+000
 5.2700955E+001, 0.0000000E+000, 0.0000000E+000
 5.2720267E+001, 0.0000000E+000, 0.0000000E+000
 5.2740046E+001, 0.0000000E+000, 0.0000000E+000
 5.2760089E+001, 0.0000000E+000, 0.0000000E+000
 5.2780132E+001, 0.0000000E+000, 0.0000000E+000
 5.2800175E+001, 0.0000000E+000, 0.0000000E+000
 5.2820218E+001, 0.0000000E+000, 0.0000000E+000
 5.2840261E+001, 0.0000000E+000, 0.0000000E+000
 5.2860305E+001, 0.0000000E+000, 0.0000000E+000
 5.2880348E+001, 0.0000000E+000, 0.0000000E+000
 5.2900391E+001, 0.0000000E+000, 0.0000000E+000
 5.2920434E+001, 0.0000000E+000, 0.0000000E+000
