s,kW,
Time,"MY NET HF","TOTAL ENERGY ABORBED"
 5.0100630E+001, 0.0000000E+000, 0.0000000E+000
 5.0120412E+001, 0.0000000E+000, 0.0000000E+000
 5.0140449E+001, 0.0000000E+000, 0.0000000E+000
 5.0160364E+001, 0.0000000E+000, 0.0000000E+000
 5.0180908E+001, 0.0000000E+000, 0.0000000E+000
 5.0200431E+001, 0.0000000E+000, 0.0000000E+000
 5.0220981E+001, 0.0000000E+000, 0.0000000E+000
 5.0240504E+001, 0.0000000E+000, 0.0000000E+000
 5.0260026E+001, 0.0000000E+000, 0.0000000E+000
 5.0280577E+001, 0.0000000E+000, 0.0000000E+000
 5.0300099E+001, 0.0000000E+000, 0.0000000E+000
 5.0320444E+001, 0.0000000E+000, 0.0000000E+000
 5.0340788E+001, 0.0000000E+000, 0.0000000E+000
 5.0360003E+001, 0.0000000E+000, 0.0000000E+000
 5.0380347E+001, 0.0000000E+000, 0.0000000E+000
 5.0400692E+001, 0.0000000E+000, 0.0000000E+000
 5.0421037E+001, 0.0000000E+000, 0.0000000E+000
 5.0440251E+001, 0.0000000E+000, 0.0000000E+000
 5.0460595E+001, 0.0000000E+000, 0.0000000E+000
 5.0480940E+001, 0.0000000E+000, 0.0000000E+000
 5.0500154E+001, 0.0000000E+000, 0.0000000E+000
 5.0520499E+001, 0.0000000E+000, 0.0000000E+000
 5.0540844E+001, 0.0000000E+000, 0.0000000E+000
 5.0560058E+001, 0.0000000E+000, 0.0000000E+000
 5.0580403E+001, 0.0000000E+000, 0.0000000E+000
 5.0600747E+001, 0.0000000E+000, 0.0000000E+000
 5.0621092E+001, 0.0000000E+000, 0.0000000E+000
 5.0640306E+001, 0.0000000E+000, 0.0000000E+000
 5.0660651E+001, 0.0000000E+000, 0.0000000E+000
 5.0680995E+001, 0.0000000E+000, 0.0000000E+000
 5.0700210E+001, 0.0000000E+000, 0.0000000E+000
 5.0720554E+001, 0.0000000E+000, 0.0000000E+000
 5.0740899E+001, 0.0000000E+000, 0.0000000E+000
 5.0760113E+001, 0.0000000E+000, 0.0000000E+000
 5.0780458E+001, 0.0000000E+000, 0.0000000E+000
 5.0800803E+001, 0.0000000E+000, 0.0000000E+000
 5.0820017E+001, 0.0000000E+000, 0.0000000E+000
 5.0840362E+001, 0.0000000E+000, 0.0000000E+000
 5.0860706E+001, 0.0000000E+000, 0.0000000E+000
 5.0881051E+001, 0.0000000E+000, 0.0000000E+000
 5.0900265E+001, 0.0000000E+000, 0.0000000E+000
 5.0920610E+001, 0.0000000E+000, 0.0000000E+000
 5.0940954E+001, 0.0000000E+000, 0.0000000E+000
 5.0960169E+001, 0.0000000E+000, 0.0000000E+000
 5.0980513E+001, 0.0000000E+000, 0.0000000E+000
 5.1000858E+001, 0.0000000E+000, 0.0000000E+000
 5.1020072E+001, 0.0000000E+000, 0.0000000E+000
 5.1040417E+001, 0.0000000E+000, 0.0000000E+000
 5.1060762E+001, 0.0000000E+000, 0.0000000E+000
 5.1081106E+001, 0.0000000E+000, 0.0000000E+000
