s,status
Time,"MY PID"
 5.0940865E+001,-1
 5.0952988E+001,-1
 5.0964008E+001,-1
 5.0976131E+001,-1
 5.0988255E+001,-1
 5.1000378E+001,-1
 5.1012501E+001,-1
 5.1024071E+001,-1
 5.1036194E+001,-1
 5.1048317E+001,-1
 5.1060440E+001,-1
 5.1072559E+001,-1
 5.1084682E+001,-1
 5.1096806E+001,-1
 5.1108929E+001,-1
 5.1121052E+001,-1
 5.1133175E+001,-1
 5.1144085E+001,-1
 5.1156208E+001,-1
 5.1168327E+001,-1
 5.1180450E+001,-1
 5.1192574E+001,-1
 5.1204697E+001,-1
 5.1216820E+001,-1
 5.1228943E+001,-1
 5.1241062E+001,-1
 5.1253185E+001,-1
 5.1264095E+001,-1
 5.1276218E+001,-1
 5.1288342E+001,-1
 5.1300465E+001,-1
 5.1312588E+001,-1
 5.1324711E+001,-1
 5.1336834E+001,-1
 5.1348953E+001,-1
 5.1361076E+001,-1
 5.1373199E+001,-1
 5.1384109E+001,-1
 5.1396233E+001,-1
 5.1408356E+001,-1
 5.1420479E+001,-1
 5.1432602E+001,-1
 5.1444721E+001,-1
 5.1456844E+001,-1
 5.1468967E+001,-1
 5.1481091E+001,-1
 5.1492001E+001,-1
 5.1504124E+001,-1
 5.1516247E+001,-1
 5.1528370E+001,-1
 5.1540489E+001,-1
 5.1552612E+001,-1
 5.1564735E+001,-1
 5.1576859E+001,-1
 5.1588982E+001,-1
 5.1601105E+001,-1
 5.1612015E+001,-1
 5.1624138E+001,-1
 5.1636257E+001,-1
 5.1648380E+001,-1
 5.1660503E+001,-1
 5.1672626E+001,-1
 5.1684750E+001,-1
 5.1696873E+001,-1
 5.1708996E+001,-1
 5.1720963E+001,-1
 5.1732582E+001,-1
 5.1744202E+001,-1
 5.1756882E+001,-1
 5.1768501E+001,-1
 5.1780125E+001,-1
 5.1792801E+001,-1
 5.1804424E+001,-1
 5.1816574E+001,-1
 5.1828194E+001,-1
 5.1840977E+001,-1
 5.1852600E+001,-1
 5.1864220E+001,-1
 5.1877003E+001,-1
 5.1888626E+001,-1
 5.1900246E+001,-1
 5.1913029E+001,-1
 5.1924652E+001,-1
 5.1936272E+001,-1
 5.1949055E+001,-1
 5.1960678E+001,-1
 5.1972298E+001,-1
 5.1985081E+001,-1
 5.1996704E+001,-1
 5.2008324E+001,-1
 5.2021107E+001,-1
 5.2032730E+001,-1
 5.2044350E+001,-1
 5.2057133E+001,-1
 5.2068756E+001,-1
 5.2080376E+001,-1
 5.2093159E+001,-1
 5.2104782E+001,-1
 5.2116402E+001,-1
 5.2128025E+001,-1
 5.2140808E+001,-1
 5.2152428E+001,-1
 5.2164051E+001,-1
 5.2176834E+001,-1
 5.2188454E+001,-1
 5.2200077E+001,-1
 5.2212860E+001,-1
 5.2224480E+001,-1
 5.2236103E+001,-1
 5.2248886E+001,-1
 5.2260506E+001,-1
 5.2272129E+001,-1
 5.2284912E+001,-1
 5.2296532E+001,-1
 5.2308155E+001,-1
 5.2320938E+001,-1
 5.2332558E+001,-1
 5.2344181E+001,-1
 5.2356964E+001,-1
 5.2368584E+001,-1
 5.2380207E+001,-1
 5.2392990E+001,-1
 5.2404610E+001,-1
 5.2416233E+001,-1
 5.2429016E+001,-1
 5.2440636E+001,-1
 5.2452259E+001,-1
 5.2465042E+001,-1
 5.2476662E+001,-1
 5.2488285E+001,-1
 5.2501068E+001,-1
 5.2512688E+001,-1
 5.2524311E+001,-1
 5.2537094E+001,-1
 5.2548714E+001,-1
 5.2560337E+001,-1
 5.2573120E+001,-1
 5.2584740E+001,-1
 5.2596363E+001,-1
 5.2609146E+001,-1
