s,status
Time,"MY PID"
 4.9127422E+001,-1
 4.9129654E+001,-1
 4.9131889E+001,-1
 4.9134121E+001,-1
 4.9136353E+001,-1
 4.9138584E+001,-1
 4.9140816E+001,-1
 4.9143047E+001,-1
 4.9145283E+001,-1
 4.9147514E+001,-1
 4.9149746E+001,-1
 4.9151978E+001,-1
 4.9154209E+001,-1
 4.9156441E+001,-1
 4.9158676E+001,-1
 4.9160908E+001,-1
 4.9163139E+001,-1
 4.9165371E+001,-1
 4.9167603E+001,-1
 4.9169834E+001,-1
 4.9172066E+001,-1
 4.9174301E+001,-1
 4.9176533E+001,-1
 4.9178764E+001,-1
 4.9180996E+001,-1
 4.9183228E+001,-1
 4.9185459E+001,-1
 4.9187695E+001,-1
 4.9189926E+001,-1
 4.9192158E+001,-1
 4.9194389E+001,-1
 4.9196621E+001,-1
 4.9198853E+001,-1
 4.9200840E+001,-1
 4.9202824E+001,-1
 4.9204807E+001,-1
 4.9206791E+001,-1
 4.9208775E+001,-1
 4.9210758E+001,-1
 4.9212742E+001,-1
 4.9214729E+001,-1
 4.9216713E+001,-1
 4.9218697E+001,-1
 4.9220680E+001,-1
 4.9222664E+001,-1
 4.9224648E+001,-1
 4.9226631E+001,-1
 4.9228619E+001,-1
 4.9230602E+001,-1
 4.9232586E+001,-1
 4.9234570E+001,-1
 4.9236553E+001,-1
 4.9238537E+001,-1
 4.9240520E+001,-1
 4.9242508E+001,-1
 4.9244492E+001,-1
 4.9246475E+001,-1
 4.9248459E+001,-1
 4.9250443E+001,-1
 4.9252426E+001,-1
 4.9254410E+001,-1
 4.9256397E+001,-1
 4.9258381E+001,-1
 4.9260365E+001,-1
 4.9262348E+001,-1
 4.9264332E+001,-1
 4.9266315E+001,-1
 4.9268299E+001,-1
 4.9270287E+001,-1
 4.9272270E+001,-1
 4.9274254E+001,-1
 4.9276237E+001,-1
 4.9278221E+001,-1
 4.9280205E+001,-1
 4.9281990E+001,-1
 4.9283772E+001,-1
 4.9285553E+001,-1
 4.9287338E+001,-1
 4.9289120E+001,-1
 4.9290901E+001,-1
 4.9292686E+001,-1
 4.9294468E+001,-1
 4.9296249E+001,-1
 4.9298031E+001,-1
 4.9299816E+001,-1
 4.9301598E+001,-1
 4.9303379E+001,-1
 4.9305164E+001,-1
 4.9306946E+001,-1
 4.9308727E+001,-1
 4.9310513E+001,-1
 4.9312294E+001,-1
 4.9314075E+001,-1
 4.9315861E+001,-1
 4.9317642E+001,-1
 4.9319424E+001,-1
 4.9321209E+001,-1
 4.9322990E+001,-1
 4.9324772E+001,-1
 4.9326553E+001,-1
 4.9328339E+001,-1
 4.9330120E+001,-1
 4.9331902E+001,-1
 4.9333687E+001,-1
 4.9335468E+001,-1
 4.9337250E+001,-1
 4.9339035E+001,-1
 4.9340816E+001,-1
 4.9342598E+001,-1
 4.9344383E+001,-1
 4.9346165E+001,-1
 4.9347946E+001,-1
 4.9349728E+001,-1
 4.9351513E+001,-1
 4.9353294E+001,-1
 4.9355076E+001,-1
 4.9356861E+001,-1
 4.9358643E+001,-1
 4.9360424E+001,-1
 4.9362209E+001,-1
 4.9363991E+001,-1
 4.9365772E+001,-1
 4.9367558E+001,-1
 4.9369339E+001,-1
 4.9371120E+001,-1
 4.9373081E+001,-1
 4.9375042E+001,-1
 4.9377003E+001,-1
 4.9378963E+001,-1
 4.9380924E+001,-1
 4.9382885E+001,-1
 4.9384850E+001,-1
 4.9386810E+001,-1
 4.9388771E+001,-1
 4.9390732E+001,-1
 4.9392693E+001,-1
 4.9394653E+001,-1
 4.9396614E+001,-1
 4.9398575E+001,-1
 4.9400536E+001,-1
 4.9402496E+001,-1
 4.9404457E+001,-1
 4.9406418E+001,-1
 4.9408379E+001,-1
 4.9410339E+001,-1
 4.9412300E+001,-1
 4.9414261E+001,-1
 4.9416222E+001,-1
 4.9418182E+001,-1
 4.9420143E+001,-1
 4.9422104E+001,-1
 4.9424065E+001,-1
 4.9426025E+001,-1
 4.9427986E+001,-1
 4.9429951E+001,-1
 4.9431911E+001,-1
 4.9433872E+001,-1
 4.9435833E+001,-1
 4.9437794E+001,-1
 4.9439754E+001,-1
 4.9441715E+001,-1
 4.9443676E+001,-1
 4.9445637E+001,-1
 4.9447598E+001,-1
 4.9449558E+001,-1
 4.9451519E+001,-1
 4.9453480E+001,-1
 4.9455441E+001,-1
 4.9457401E+001,-1
 4.9459362E+001,-1
 4.9461323E+001,-1
 4.9463284E+001,-1
 4.9465244E+001,-1
 4.9467205E+001,-1
 4.9469166E+001,-1
 4.9471127E+001,-1
