s,status
Time,"MY PID"
 4.9158661E+001,-1
 4.9160561E+001,-1
 4.9162460E+001,-1
 4.9164356E+001,-1
 4.9166256E+001,-1
 4.9168156E+001,-1
 4.9170055E+001,-1
 4.9171951E+001,-1
 4.9173851E+001,-1
 4.9175751E+001,-1
 4.9177650E+001,-1
 4.9179550E+001,-1
 4.9181446E+001,-1
 4.9183346E+001,-1
 4.9185246E+001,-1
 4.9187145E+001,-1
 4.9189045E+001,-1
 4.9190941E+001,-1
 4.9192841E+001,-1
 4.9194740E+001,-1
 4.9196640E+001,-1
 4.9198540E+001,-1
 4.9200436E+001,-1
 4.9202335E+001,-1
 4.9204235E+001,-1
 4.9206135E+001,-1
 4.9208035E+001,-1
 4.9209690E+001,-1
 4.9211346E+001,-1
 4.9213001E+001,-1
 4.9214661E+001,-1
 4.9216316E+001,-1
 4.9217972E+001,-1
 4.9219631E+001,-1
 4.9221287E+001,-1
 4.9222942E+001,-1
 4.9224602E+001,-1
 4.9226257E+001,-1
 4.9227913E+001,-1
 4.9229572E+001,-1
 4.9231228E+001,-1
 4.9232883E+001,-1
 4.9234539E+001,-1
 4.9236198E+001,-1
 4.9237854E+001,-1
 4.9239510E+001,-1
 4.9241169E+001,-1
 4.9242825E+001,-1
 4.9244480E+001,-1
 4.9246140E+001,-1
 4.9247795E+001,-1
 4.9249451E+001,-1
 4.9251110E+001,-1
 4.9252766E+001,-1
 4.9254421E+001,-1
 4.9256081E+001,-1
 4.9257736E+001,-1
 4.9259392E+001,-1
 4.9261047E+001,-1
 4.9262707E+001,-1
 4.9264526E+001,-1
 4.9266350E+001,-1
 4.9268173E+001,-1
 4.9269997E+001,-1
 4.9271999E+001,-1
 4.9274006E+001,-1
 4.9276009E+001,-1
 4.9278015E+001,-1
 4.9280018E+001,-1
 4.9282024E+001,-1
 4.9284027E+001,-1
 4.9286034E+001,-1
 4.9288036E+001,-1
 4.9290043E+001,-1
 4.9292046E+001,-1
 4.9294052E+001,-1
 4.9296055E+001,-1
 4.9298061E+001,-1
 4.9300064E+001,-1
 4.9302071E+001,-1
 4.9304073E+001,-1
 4.9306080E+001,-1
 4.9308086E+001,-1
 4.9310089E+001,-1
 4.9312096E+001,-1
 4.9314098E+001,-1
 4.9316105E+001,-1
 4.9318108E+001,-1
 4.9320114E+001,-1
 4.9322117E+001,-1
 4.9324123E+001,-1
 4.9326126E+001,-1
 4.9328133E+001,-1
 4.9329906E+001,-1
 4.9331680E+001,-1
 4.9333458E+001,-1
 4.9335232E+001,-1
 4.9337006E+001,-1
 4.9338783E+001,-1
 4.9340557E+001,-1
 4.9342331E+001,-1
 4.9344109E+001,-1
 4.9345882E+001,-1
 4.9347656E+001,-1
 4.9349434E+001,-1
 4.9351208E+001,-1
 4.9352982E+001,-1
 4.9354759E+001,-1
 4.9356533E+001,-1
 4.9358307E+001,-1
 4.9360081E+001,-1
 4.9361858E+001,-1
 4.9363632E+001,-1
 4.9365406E+001,-1
 4.9367184E+001,-1
 4.9368958E+001,-1
 4.9370911E+001,-1
 4.9372864E+001,-1
 4.9374817E+001,-1
 4.9376770E+001,-1
 4.9378719E+001,-1
 4.9380672E+001,-1
 4.9382626E+001,-1
 4.9384579E+001,-1
 4.9386532E+001,-1
 4.9388485E+001,-1
 4.9390434E+001,-1
 4.9392387E+001,-1
 4.9394341E+001,-1
 4.9396088E+001,-1
 4.9397835E+001,-1
 4.9399582E+001,-1
 4.9401329E+001,-1
 4.9403076E+001,-1
 4.9404823E+001,-1
 4.9406570E+001,-1
 4.9408318E+001,-1
 4.9410065E+001,-1
 4.9411812E+001,-1
 4.9413559E+001,-1
 4.9415306E+001,-1
 4.9417053E+001,-1
 4.9418800E+001,-1
 4.9420547E+001,-1
 4.9422295E+001,-1
 4.9424042E+001,-1
 4.9425789E+001,-1
 4.9427536E+001,-1
 4.9429283E+001,-1
 4.9431030E+001,-1
 4.9432777E+001,-1
 4.9434525E+001,-1
 4.9436272E+001,-1
 4.9438019E+001,-1
 4.9439941E+001,-1
 4.9441864E+001,-1
 4.9443787E+001,-1
 4.9445709E+001,-1
 4.9447632E+001,-1
 4.9449551E+001,-1
 4.9451473E+001,-1
 4.9453396E+001,-1
 4.9455318E+001,-1
 4.9457241E+001,-1
 4.9459160E+001,-1
 4.9461082E+001,-1
 4.9463196E+001,-1
 4.9465313E+001,-1
 4.9467426E+001,-1
 4.9469540E+001,-1
 4.9471653E+001,-1
 4.9473766E+001,-1
 4.9475883E+001,-1
 4.9477997E+001,-1
 4.9480110E+001,-1
 4.9482224E+001,-1
 4.9484337E+001,-1
 4.9486454E+001,-1
 4.9488567E+001,-1
 4.9490681E+001,-1
 4.9492794E+001,-1
 4.9494907E+001,-1
 4.9497025E+001,-1
 4.9499138E+001,-1
 4.9501251E+001,-1
 4.9503365E+001,-1
 4.9505478E+001,-1
 4.9507595E+001,-1
 4.9509708E+001,-1
 4.9511822E+001,-1
 4.9513935E+001,-1
 4.9516048E+001,-1
 4.9518162E+001,-1
 4.9520279E+001,-1
 4.9522392E+001,-1
 4.9524506E+001,-1
 4.9526619E+001,-1
 4.9528732E+001,-1
 4.9530849E+001,-1
 4.9532963E+001,-1
 4.9535076E+001,-1
 4.9537189E+001,-1
 4.9539303E+001,-1
 4.9541420E+001,-1
 4.9543533E+001,-1
 4.9545647E+001,-1
 4.9547760E+001,-1
 4.9549873E+001,-1
 4.9551991E+001,-1
 4.9554104E+001,-1
 4.9556217E+001,-1
 4.9558331E+001,-1
 4.9560444E+001,-1
 4.9562561E+001,-1
 4.9564674E+001,-1
 4.9566788E+001,-1
 4.9568901E+001,-1
 4.9571014E+001,-1
 4.9573132E+001,-1
 4.9575245E+001,-1
 4.9577358E+001,-1
 4.9579472E+001,-1
 4.9581585E+001,-1
 4.9583702E+001,-1
 4.9585602E+001,-1
 4.9587502E+001,-1
 4.9589401E+001,-1
 4.9591301E+001,-1
 4.9593201E+001,-1
 4.9595100E+001,-1
 4.9596779E+001,-1
 4.9598454E+001,-1
 4.9600128E+001,-1
 4.9601803E+001,-1
 4.9603477E+001,-1
 4.9605152E+001,-1
 4.9606827E+001,-1
 4.9608501E+001,-1
 4.9610180E+001,-1
 4.9611855E+001,-1
 4.9613529E+001,-1
 4.9615204E+001,-1
 4.9616879E+001,-1
 4.9618553E+001,-1
 4.9620228E+001,-1
 4.9621902E+001,-1
 4.9623581E+001,-1
 4.9625256E+001,-1
 4.9627098E+001,-1
 4.9628941E+001,-1
 4.9630783E+001,-1
 4.9632626E+001,-1
 4.9634468E+001,-1
 4.9636311E+001,-1
 4.9638153E+001,-1
 4.9640179E+001,-1
 4.9642208E+001,-1
 4.9644234E+001,-1
 4.9646259E+001,-1
 4.9648289E+001,-1
 4.9650314E+001,-1
 4.9652340E+001,-1
 4.9654369E+001,-1
 4.9656395E+001,-1
 4.9658421E+001,-1
 4.9660450E+001,-1
 4.9662476E+001,-1
 4.9664501E+001,-1
 4.9666531E+001,-1
 4.9668556E+001,-1
 4.9670582E+001,-1
 4.9672611E+001,-1
 4.9674637E+001,-1
 4.9676662E+001,-1
 4.9678692E+001,-1
 4.9680920E+001,-1
 4.9683151E+001,-1
 4.9685379E+001,-1
 4.9687611E+001,-1
 4.9689838E+001,-1
 4.9692070E+001,-1
 4.9694298E+001,-1
 4.9696526E+001,-1
 4.9698757E+001,-1
 4.9700729E+001,-1
 4.9702702E+001,-1
 4.9704674E+001,-1
 4.9706646E+001,-1
 4.9708618E+001,-1
 4.9710590E+001,-1
 4.9712563E+001,-1
 4.9714535E+001,-1
 4.9716507E+001,-1
 4.9718479E+001,-1
 4.9720451E+001,-1
 4.9722424E+001,-1
 4.9724396E+001,-1
 4.9726368E+001,-1
 4.9728340E+001,-1
 4.9730312E+001,-1
 4.9732285E+001,-1
 4.9734257E+001,-1
 4.9736229E+001,-1
 4.9738201E+001,-1
 4.9739975E+001,-1
 4.9741749E+001,-1
 4.9743523E+001,-1
 4.9745300E+001,-1
 4.9747074E+001,-1
 4.9748848E+001,-1
 4.9750622E+001,-1
 4.9752396E+001,-1
 4.9754169E+001,-1
 4.9755943E+001,-1
 4.9757721E+001,-1
 4.9759495E+001,-1
 4.9761269E+001,-1
 4.9763042E+001,-1
 4.9764816E+001,-1
 4.9766590E+001,-1
 4.9768364E+001,-1
 4.9770142E+001,-1
 4.9771915E+001,-1
 4.9773689E+001,-1
 4.9775463E+001,-1
 4.9777237E+001,-1
 4.9779011E+001,-1
 4.9780964E+001,-1
 4.9782913E+001,-1
 4.9784866E+001,-1
 4.9786819E+001,-1
 4.9788769E+001,-1
 4.9790722E+001,-1
 4.9792675E+001,-1
 4.9794624E+001,-1
 4.9796577E+001,-1
 4.9798531E+001,-1
 4.9800480E+001,-1
 4.9802433E+001,-1
 4.9804386E+001,-1
 4.9806335E+001,-1
 4.9808289E+001,-1
 4.9810242E+001,-1
 4.9812191E+001,-1
 4.9814144E+001,-1
 4.9816097E+001,-1
 4.9818047E+001,-1
 4.9820000E+001,-1
 4.9821949E+001,-1
 4.9823902E+001,-1
 4.9825855E+001,-1
 4.9827805E+001,-1
 4.9829758E+001,-1
 4.9831711E+001,-1
 4.9833660E+001,-1
 4.9835613E+001,-1
 4.9837566E+001,-1
 4.9839516E+001,-1
 4.9841469E+001,-1
 4.9843422E+001,-1
 4.9845371E+001,-1
 4.9847324E+001,-1
 4.9849277E+001,-1
 4.9851227E+001,-1
 4.9853180E+001,-1
 4.9855129E+001,-1
 4.9857082E+001,-1
 4.9859035E+001,-1
 4.9860985E+001,-1
 4.9862938E+001,-1
 4.9864891E+001,-1
 4.9866840E+001,-1
 4.9868793E+001,-1
 4.9870747E+001,-1
 4.9872696E+001,-1
 4.9874649E+001,-1
 4.9876602E+001,-1
 4.9878551E+001,-1
 4.9880505E+001,-1
 4.9882458E+001,-1
 4.9884407E+001,-1
 4.9886360E+001,-1
 4.9888313E+001,-1
 4.9890263E+001,-1
 4.9892216E+001,-1
 4.9894165E+001,-1
 4.9896118E+001,-1
 4.9898071E+001,-1
 4.9900021E+001,-1
 4.9901974E+001,-1
 4.9903927E+001,-1
 4.9905876E+001,-1
 4.9907829E+001,-1
 4.9909782E+001,-1
 4.9911732E+001,-1
 4.9913685E+001,-1
 4.9915638E+001,-1
 4.9917587E+001,-1
 4.9919540E+001,-1
 4.9921494E+001,-1
 4.9923443E+001,-1
 4.9925396E+001,-1
 4.9927349E+001,-1
 4.9929298E+001,-1
 4.9931252E+001,-1
 4.9933201E+001,-1
 4.9935154E+001,-1
 4.9937107E+001,-1
 4.9939056E+001,-1
 4.9941010E+001,-1
 4.9942963E+001,-1
 4.9944912E+001,-1
 4.9946865E+001,-1
 4.9948818E+001,-1
 4.9950768E+001,-1
 4.9952721E+001,-1
 4.9954674E+001,-1
 4.9956623E+001,-1
 4.9958576E+001,-1
 4.9960529E+001,-1
 4.9962479E+001,-1
 4.9964432E+001,-1
 4.9966381E+001,-1
 4.9968334E+001,-1
 4.9970287E+001,-1
 4.9972237E+001,-1
 4.9974190E+001,-1
 4.9976143E+001,-1
 4.9978092E+001,-1
 4.9980045E+001,-1
 4.9981998E+001,-1
 4.9983948E+001,-1
 4.9985901E+001,-1
 4.9987854E+001,-1
 4.9989803E+001,-1
 4.9991756E+001,-1
 4.9993710E+001,-1
 4.9995659E+001,-1
 4.9997612E+001,-1
 4.9999565E+001,-1
 5.0000000E+001,-1
