s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.2302882E-001, 7.9290482E-002, 3.2165342E-002, 1.6814512E-002,-4.4663496E-002, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2770485E-001, 7.7743678E-002, 3.1786113E-002, 1.6026186E-002,-4.7222019E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3238088E-001, 7.6194060E-002, 3.1402710E-002, 1.5232806E-002,-4.7333230E-002, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3705690E-001, 7.4727471E-002, 3.1042212E-002, 1.4468982E-002,-4.4976460E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4173293E-001, 7.3172960E-002, 3.0650262E-002, 1.3666458E-002,-4.7536239E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4640896E-001, 7.1701621E-002, 3.0280842E-002, 1.2893992E-002,-4.5173893E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5108498E-001, 7.0747605E-002, 2.9928813E-002, 1.2441140E-002,-3.0368947E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5576101E-001, 7.1848232E-002, 2.9739264E-002, 1.3202161E-002, 2.8548868E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6043704E-001, 7.2930714E-002, 2.9564894E-002, 1.3938953E-002, 2.7990292E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6511307E-001, 7.4036838E-002, 2.9368583E-002, 1.4708754E-002, 2.8613554E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6978909E-001, 7.5125083E-002, 2.9187101E-002, 1.5454686E-002, 2.8060408E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7446512E-001, 7.6237360E-002, 2.8983378E-002, 1.6234014E-002, 2.8691351E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7914115E-001, 7.7352962E-002, 2.8775619E-002, 1.7018501E-002, 2.8735749E-002, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8381718E-001, 7.8451560E-002, 2.8582350E-002, 1.7779745E-002, 2.8203958E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8849320E-001, 7.9575262E-002, 2.8366577E-002, 1.8575042E-002, 2.8859462E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9316923E-001, 8.0703611E-002, 2.8146584E-002, 1.9376211E-002, 2.8936035E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9784526E-001, 8.1816463E-002, 2.7940966E-002, 2.0154888E-002, 2.8442563E-002, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0252128E-001, 8.2660837E-002, 2.7631698E-002, 2.0887529E-002, 2.0825644E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
