s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.2302882E-001, 7.9290402E-002, 3.2165274E-002, 1.6814843E-002,-4.4663486E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0405533E-001, 6.2874635E-009
 1.2770485E-001, 7.7743598E-002, 3.1786045E-002, 1.6026517E-002,-4.7222008E-002, 2.7755576E-017, 1.0000000E+000, 5.8000000E+001, 6.0406430E-001, 6.3850975E-009
 1.3238088E-001, 7.6193981E-002, 3.1402643E-002, 1.5233139E-002,-4.7333220E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0402621E-001, 6.4397883E-009
 1.3705690E-001, 7.4727392E-002, 3.1042144E-002, 1.4469316E-002,-4.4976449E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0393343E-001, 6.4460461E-009
 1.4173293E-001, 7.3172881E-002, 3.0650193E-002, 1.3666792E-002,-4.7536228E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0400804E-001, 6.5674636E-009
 1.4640896E-001, 7.1701543E-002, 3.0280773E-002, 1.2894328E-002,-4.5173882E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0410523E-001, 6.6846300E-009
 1.5108498E-001, 7.0747527E-002, 2.9928744E-002, 1.2441476E-002,-3.0368936E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0407108E-001, 6.6970362E-009
 1.5576101E-001, 7.1848154E-002, 2.9739196E-002, 1.3202498E-002, 2.8548879E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0336684E-001, 6.3351379E-009
 1.6043704E-001, 7.2930636E-002, 2.9564826E-002, 1.3939291E-002, 2.7990302E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0349563E-001, 6.4408116E-009
 1.6511307E-001, 7.4036760E-002, 2.9368515E-002, 1.4709092E-002, 2.8613564E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0367335E-001, 6.5978607E-009
 1.6978909E-001, 7.5125006E-002, 2.9187032E-002, 1.5455026E-002, 2.8060417E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0385991E-001, 6.7490888E-009
 1.7446512E-001, 7.6237283E-002, 2.8983309E-002, 1.6234355E-002, 2.8691359E-002, 2.7755576E-017, 1.0000000E+000, 5.8000000E+001, 6.0403608E-001, 6.9177301E-009
