s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.2327635E-001, 7.8876100E-002, 3.1938703E-002, 1.6716741E-002,-5.7621039E-002, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6526567E-001, 7.1581868E-009
 1.2796178E-001, 7.7307780E-002, 3.1595388E-002, 1.5995292E-002,-6.0398708E-002, 1.3877788E-017, 1.0000000E+000, 3.7000000E+001, 4.6080932E-001, 9.8438062E-009
 1.3264722E-001, 7.5711102E-002, 3.1239095E-002, 1.5250611E-002,-6.5545307E-002, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6614365E-001, 5.7256979E-009
 1.3733265E-001, 7.4193937E-002, 3.0887736E-002, 1.4503960E-002,-6.4797186E-002, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6729815E-001, 4.3466267E-009
 1.4201809E-001, 7.2846451E-002, 3.0563586E-002, 1.3782784E-002,-5.7991688E-002, 1.3877788E-017, 1.0000000E+000, 3.7000000E+001, 4.7148584E-001, 6.3802499E-009
 1.4670352E-001, 7.1478637E-002, 3.0213513E-002, 1.3020332E-002,-5.3270015E-002, 1.3877788E-017, 1.0000000E+000, 3.6000000E+001, 4.7315473E-001, 6.4649777E-009
 1.5138896E-001, 7.0968194E-002, 2.9921775E-002, 1.2706056E-002,-2.1195053E-002, 1.3877788E-017, 1.0000000E+000, 3.7000000E+001, 4.6686422E-001, 5.6659339E-009
 1.5607439E-001, 7.2282475E-002, 2.9786992E-002, 1.3415051E-002, 3.9367597E-002, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6604534E-001, 4.1263029E-009
 1.6075983E-001, 7.3544032E-002, 2.9634899E-002, 1.4200189E-002, 4.5580100E-002, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6526094E-001, 5.0135903E-009
 1.6544526E-001, 7.4720848E-002, 2.9470331E-002, 1.4994655E-002, 4.8308691E-002, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6554945E-001, 5.7662472E-009
 1.7013070E-001, 7.5796966E-002, 2.9305436E-002, 1.5759811E-002, 4.7232414E-002, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6595054E-001, 6.0100281E-009
 1.7481613E-001, 7.6843869E-002, 2.9101624E-002, 1.6540688E-002, 4.4898457E-002, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6580261E-001, 5.4143112E-009
 1.7950157E-001, 7.7862082E-002, 2.8873672E-002, 1.7308472E-002, 4.0323963E-002, 2.7755576E-017, 1.0000000E+000, 3.8000000E+001, 4.6504703E-001, 4.1322907E-009
 1.8418700E-001, 7.8845370E-002, 2.8642235E-002, 1.8038167E-002, 3.4701567E-002, 1.3877788E-017, 1.0000000E+000, 3.7000000E+001, 4.6441299E-001, 5.7838920E-009
 1.8887244E-001, 7.9848985E-002, 2.8378387E-002, 1.8790758E-002, 3.0754519E-002, 1.3877788E-017, 1.0000000E+000, 3.6000000E+001, 4.7115268E-001, 9.9372214E-009
 1.9355787E-001, 8.0858319E-002, 2.8105296E-002, 1.9549365E-002, 2.6759102E-002, 2.7755576E-017, 1.0000000E+000, 3.6000000E+001, 4.7558297E-001, 4.6285685E-009
 1.9824331E-001, 8.1869549E-002, 2.7848496E-002, 2.0291040E-002, 2.2968021E-002, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 4.6970798E-001, 5.3901524E-009
 2.0292874E-001, 8.2582607E-002, 2.7491512E-002, 2.0983791E-002, 1.1128765E-002, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 4.6916149E-001, 8.6356945E-009
 2.0761418E-001, 8.3134648E-002, 2.7083689E-002, 2.1634528E-002, 3.9163498E-003, 2.7755576E-017, 1.0000000E+000, 3.8000000E+001, 4.6635012E-001, 4.1380032E-009
 2.1229961E-001, 8.3739367E-002, 2.6705052E-002, 2.2276758E-002, 3.9682654E-003, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6614002E-001, 4.5130369E-009
 2.1698505E-001, 8.4375720E-002, 2.6312805E-002, 2.2956020E-002, 4.7944764E-003, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6597150E-001, 4.4208989E-009
 2.2167049E-001, 8.5030926E-002, 2.5927053E-002, 2.3653197E-002, 6.4234110E-003, 2.7755576E-017, 1.0000000E+000, 3.8000000E+001, 4.6581939E-001, 3.8983511E-009
 2.2635592E-001, 8.5697942E-002, 2.5569459E-002, 2.4345254E-002, 8.6332455E-003, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 4.6788498E-001, 7.7422154E-009
 2.3104136E-001, 8.6375334E-002, 2.5191167E-002, 2.5072126E-002, 1.1110791E-002, 1.3877788E-017, 1.0000000E+000, 3.6000000E+001, 4.6092915E-001, 6.1895530E-009
 2.3572679E-001, 8.7066287E-002, 2.4809293E-002, 2.5811122E-002, 1.3662712E-002, 2.7755576E-017, 1.0000000E+000, 3.6000000E+001, 4.7446362E-001, 6.8776721E-009
 2.4041223E-001, 8.7773565E-002, 2.4443981E-002, 2.6536453E-002, 1.6253275E-002, 1.3877788E-017, 1.0000000E+000, 3.6000000E+001, 4.7377753E-001, 6.1418828E-009
 2.4509766E-001, 8.8492384E-002, 2.4046615E-002, 2.7286855E-002, 1.8814691E-002, 2.7755576E-017, 1.0000000E+000, 3.6000000E+001, 4.6305150E-001, 6.7813730E-009
 2.4930488E-001, 8.9141074E-002, 2.3690929E-002, 2.7960137E-002, 2.2603134E-002, 1.3877788E-017, 1.0000000E+000, 3.7000000E+001, 4.6276748E-001, 5.2642477E-009
 2.5351210E-001, 9.1715349E-002, 2.4413680E-002, 2.8766190E-002, 8.5555746E-002, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 4.6167285E-001, 5.5793695E-009
 2.5771932E-001, 9.4659664E-002, 2.5403294E-002, 2.9607751E-002, 9.8824759E-002, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 4.6248042E-001, 6.1980665E-009
 2.6192654E-001, 9.7595962E-002, 2.6416380E-002, 3.0454148E-002, 9.9076947E-002, 1.3877788E-017, 1.0000000E+000, 3.7000000E+001, 4.6080603E-001, 5.1452885E-009
 2.6613376E-001, 1.0064015E-001, 2.7475516E-002, 3.1334890E-002, 1.0164540E-001, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 4.6028012E-001, 4.2518202E-009
 2.7034098E-001, 1.0359792E-001, 2.8505455E-002, 3.2194343E-002, 9.6661168E-002, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 4.6677244E-001, 5.4565063E-009
 2.7454820E-001, 1.0659489E-001, 2.9536358E-002, 3.3060583E-002, 9.4776314E-002, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 4.6993994E-001, 4.4828117E-009
 2.7875542E-001, 1.0963573E-001, 3.0571813E-002, 3.3936628E-002, 9.3165851E-002, 2.7755576E-017, 1.0000000E+000, 3.6000000E+001, 4.7543924E-001, 7.4389648E-009
 2.8296264E-001, 1.1271432E-001, 3.1618623E-002, 3.4825418E-002, 9.2133451E-002, 2.7755576E-017, 1.0000000E+000, 3.6000000E+001, 4.7557629E-001, 8.4535971E-009
 2.8716986E-001, 1.1582650E-001, 3.2683052E-002, 3.5729996E-002, 9.1663360E-002, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 4.7019540E-001, 4.5682507E-009
 2.9137707E-001, 1.1897811E-001, 3.3767931E-002, 3.6652972E-002, 9.1628890E-002, 1.3877788E-017, 1.0000000E+000, 3.7000000E+001, 4.6928211E-001, 5.7950749E-009
 2.9558429E-001, 1.2228596E-001, 3.4909611E-002, 3.7625568E-002, 9.5317346E-002, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 4.6878904E-001, 6.4541515E-009
 2.9979151E-001, 1.2554472E-001, 3.6036907E-002, 3.8591571E-002, 9.2723087E-002, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 4.6809251E-001, 6.2695971E-009
 3.0399873E-001, 1.2814129E-001, 3.7034043E-002, 3.9348658E-002, 7.1207221E-002, 2.7755576E-017, 1.0000000E+000, 3.6000000E+001, 4.6487540E-001, 9.5937854E-009
 3.0762158E-001, 1.3044035E-001, 3.7917288E-002, 4.0016867E-002, 7.4203073E-002, 2.7755576E-017, 1.0000000E+000, 3.6000000E+001, 4.6706502E-001, 7.9856745E-009
 3.1124444E-001, 1.3275895E-001, 3.8795275E-002, 4.0680072E-002, 7.5668050E-002, 2.7755576E-017, 1.0000000E+000, 3.6000000E+001, 4.7414318E-001, 9.0129698E-009
 3.1486729E-001, 1.3511258E-001, 3.9683247E-002, 4.1352852E-002, 7.8540675E-002, 2.7755576E-017, 1.0000000E+000, 3.6000000E+001, 4.7098068E-001, 5.2818678E-009
 3.1849014E-001, 1.3748575E-001, 4.0582500E-002, 4.2036590E-002, 8.1326298E-002, 5.5511151E-017, 1.0000000E+000, 3.6000000E+001, 4.7386674E-001, 9.5035168E-009
 3.2211299E-001, 1.3987237E-001, 4.1493066E-002, 4.2731667E-002, 8.3685072E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.6955118E-001, 4.7948193E-009
 3.2534859E-001, 1.4200646E-001, 4.2324535E-002, 4.3367890E-002, 8.5678492E-002, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 4.6784474E-001, 5.8757887E-009
 3.2858419E-001, 1.4417027E-001, 4.3152266E-002, 4.4003697E-002, 8.6632330E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.6724552E-001, 6.1699199E-009
 3.3181978E-001, 1.4635532E-001, 4.3983296E-002, 4.4644356E-002, 8.7410462E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.6738417E-001, 6.3335813E-009
 3.3505538E-001, 1.4855169E-001, 4.4819235E-002, 4.5291145E-002, 8.7860162E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.6809999E-001, 6.3166131E-009
 3.3829098E-001, 1.5075758E-001, 4.5661958E-002, 4.5945514E-002, 8.7960604E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.6898901E-001, 5.9313279E-009
 3.4152658E-001, 1.5297922E-001, 4.6512741E-002, 4.6608510E-002, 8.7709727E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.6963625E-001, 5.0713994E-009
 3.4476218E-001, 1.5522398E-001, 4.7372370E-002, 4.7280858E-002, 8.7203748E-002, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 4.6982671E-001, 3.9473724E-009
 3.4799777E-001, 1.5749488E-001, 4.8242065E-002, 4.7963543E-002, 8.6593463E-002, 5.5511151E-017, 1.0000000E+000, 3.6000000E+001, 4.7351917E-001, 8.8947783E-009
 3.5123337E-001, 1.5954277E-001, 4.9062420E-002, 4.8582899E-002, 7.5771932E-002, 1.1102230E-016, 1.0000000E+000, 3.6000000E+001, 4.7019079E-001, 6.7930143E-009
 3.5446897E-001, 1.6117429E-001, 4.9781841E-002, 4.9074957E-002, 5.7032994E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7090592E-001, 3.9018605E-009
 3.5770457E-001, 1.6284916E-001, 5.0507610E-002, 4.9570844E-002, 5.7315550E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7080209E-001, 4.5061920E-009
 3.6094017E-001, 1.6458782E-001, 5.1264432E-002, 5.0083097E-002, 5.8941956E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7071475E-001, 4.8820325E-009
 3.6417576E-001, 1.6632655E-001, 5.2016561E-002, 5.0601268E-002, 5.8597458E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7086931E-001, 5.0039475E-009
 3.6741136E-001, 1.6808608E-001, 5.2782407E-002, 5.1132171E-002, 5.9806783E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7124810E-001, 4.8822937E-009
 3.7064696E-001, 1.6986299E-001, 5.3562721E-002, 5.1676395E-002, 6.1176335E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7153100E-001, 4.5210180E-009
 3.7388256E-001, 1.7165965E-001, 5.4356801E-002, 5.2233299E-002, 6.2502661E-002, 5.5511151E-017, 1.0000000E+000, 3.6000000E+001, 4.7197402E-001, 9.0914750E-009
 3.7711815E-001, 1.7348118E-001, 5.5163528E-002, 5.2801644E-002, 6.3780433E-002, 5.5511151E-017, 1.0000000E+000, 3.6000000E+001, 4.7286757E-001, 9.8558765E-009
 3.8035375E-001, 1.7532909E-001, 5.5982081E-002, 5.3380377E-002, 6.5103297E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7091294E-001, 4.5557007E-009
 3.8358935E-001, 1.7719967E-001, 5.6812114E-002, 5.3968958E-002, 6.6524282E-002, 1.1102230E-016, 1.0000000E+000, 3.7000000E+001, 4.7055198E-001, 5.2579001E-009
 3.8682495E-001, 1.7908792E-001, 5.7653581E-002, 5.4567226E-002, 6.7989216E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7027351E-001, 5.9757273E-009
