Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
     30,      1,     60,      1,      7,     17,      1,  0.13877788E-16,      2,      1,     16,      1,  0.34616921E-02
     30,      1,     61,      1,      9,     17,     12,  0.27755576E-16,      2,      2,     15,     12,  0.49295698E-02
     31,      1,     62,      1,      1,     17,      1,  0.13877788E-16,      2,      1,     16,      1,  0.33204729E-02
     31,      1,     63,      5,     12,     17,      8,  0.27755576E-16,      2,      2,     15,     12,  0.47071351E-02
     32,      1,     64,      1,      2,     17,      1,  0.13877788E-16,      2,      1,     16,      1,  0.34528389E-02
     32,      1,     65,      1,     17,      1,     11,  0.13877788E-16,      2,      2,     15,     12,  0.49940531E-02
     33,      1,     66,      1,      2,     17,      1,  0.13877788E-16,      2,      1,     16,      1,  0.34387500E-02
     33,      1,     67,      1,      5,      7,     17,  0.27755576E-16,      2,      2,     15,     12,  0.50268413E-02
     34,      1,     68,      1,     10,     17,     16,  0.27755576E-16,      2,      1,     16,      1,  0.32744803E-02
     34,      1,     69,      1,      1,     17,      1,  0.13877788E-16,      2,      2,     15,     12,  0.48025337E-02
     35,      1,     70,      1,      5,     17,      2,  0.13877788E-16,      2,      1,     16,      1,  0.33978374E-02
     35,      1,     71,      1,      9,     17,      2,  0.13877788E-16,      2,      1,     15,     12,  0.50875910E-02
     36,      1,     72,      1,     15,     17,      9,  0.27755576E-16,      1,     16,     16,      1,  0.32185206E-02
     36,      1,     73,      1,      2,     17,      2,  0.13877788E-16,      2,      2,     15,     12,  0.48607319E-02
     37,      1,     74,      1,      9,     17,      3,  0.27755576E-16,      1,     16,     11,      1,  0.17183522E-02
     37,      1,     75,      1,     10,     17,      1,  0.13877788E-16,      7,     12,      1,      2,  0.43314058E-02
     38,      1,     76,      1,     17,      1,     11,  0.13877788E-16,      3,     16,      1,      1,  0.38260348E-02
     38,      1,     77,      1,     17,      1,     11,  0.13877788E-16,      5,     12,     16,      1,  0.85587260E-02
     39,      1,     78,      1,     17,      2,     12,  0.13877788E-16,      1,     16,     16,      1,  0.34102877E-02
     39,      1,     79,      1,     17,      2,     11,  0.13877788E-16,      5,     12,     16,      1,  0.86374709E-02
     40,      1,     80,      1,     17,     13,      4,  0.13877788E-16,      1,     16,     16,      1,  0.35121545E-02
     40,      1,     81,      1,     17,      1,     11,  0.13877788E-16,      5,     12,     16,      1,  0.90520565E-02
     41,      1,     82,      5,      9,     17,      4,  0.27755576E-16,      1,     16,     16,      1,  0.33301784E-02
     41,      1,     83,      1,     17,      2,     10,  0.13877788E-16,      5,     12,     16,      1,  0.91587037E-02
     42,      1,     84,      1,     17,      2,     11,  0.13877788E-16,      1,     16,     16,      1,  0.34437412E-02
     42,      1,     85,      1,     17,     14,     10,  0.13877788E-16,      5,     12,     16,      1,  0.96023730E-02
     43,      1,     86,      1,     17,      2,     10,  0.13877788E-16,      1,     16,     16,      1,  0.34146611E-02
     43,      1,     87,      5,     12,     17,      2,  0.27755576E-16,      5,     12,     16,      1,  0.99022919E-02
     44,      1,     88,      1,     17,      2,     10,  0.13877788E-16,      1,     16,     16,      1,  0.32608334E-02
     44,      1,     89,      1,     17,     12,      1,  0.13877788E-16,      5,     12,     16,      1,  0.10057358E-01
     45,      1,     90,      1,      5,     10,     17,  0.27755576E-16,      1,     16,     16,      1,  0.33954194E-02
     45,      1,     91,      1,     17,     14,      9,  0.13877788E-16,      5,     12,     16,      1,  0.10551505E-01
     46,      1,     92,      1,     17,     12,      1,  0.13877788E-16,      1,     16,     16,      1,  0.33906661E-02
