s,m/s,m/s,Pa,m/s,
Time,"u-vel","w-vel","pres","error","iter"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003, 2.2855451E-003, 2.1400049E-003, 4.0286713E-002, 4.2492027E-001, 1.0000000E+001
 4.0000000E-003, 2.4486240E-002, 1.7953656E-002, 1.1013262E+000, 1.6462792E-001, 1.0000000E+001
 6.0000000E-003, 8.6480480E-002, 5.7063936E-002, 3.9428560E+000, 8.8865063E-002, 1.0000000E+001
 8.0000000E-003, 1.7607518E-001, 1.0859523E-001, 6.3853750E+000, 1.0694540E-001, 1.0000000E+001
 1.0000000E-002, 2.5610390E-001, 1.5108575E-001, 6.2869004E+000, 1.3338279E-001, 1.0000000E+001
 1.2000000E-002, 2.9609412E-001, 1.7083442E-001, 3.8005990E+000, 1.6336648E-001, 1.0000000E+001
 1.4000000E-002, 2.8953710E-001, 1.6728792E-001, 5.3097590E-001, 1.4563722E-001, 1.0000000E+001
 1.6000000E-002, 2.4996365E-001, 1.4831848E-001,-2.0102524E+000, 9.6997859E-002, 1.0000000E+001
 1.8000000E-002, 1.9818313E-001, 1.2385271E-001,-3.1538074E+000, 3.7060530E-002, 1.0000000E+001
 2.0000000E-002, 1.5157061E-001, 1.0180369E-001,-3.1118095E+000, 1.8021256E-002, 1.0000000E+001
 2.2000000E-002, 1.1181086E-001, 8.2921414E-002,-2.6918174E+000, 6.6534902E-002, 4.0000000E+000
 2.4000000E-002, 8.2172426E-002, 6.8807197E-002,-2.0264324E+000, 1.0498962E-001, 4.0000000E+000
 2.6000000E-002, 6.4281017E-002, 6.0392079E-002,-1.2243595E+000, 1.3102696E-001, 4.0000000E+000
 2.8000000E-002, 5.8363789E-002, 5.7993015E-002,-3.8591208E-001, 1.4355886E-001, 4.0000000E+000
 3.0000000E-002, 6.3565524E-002, 6.1406289E-002, 4.0867822E-001, 1.4276521E-001, 4.0000000E+000
 3.2000000E-002, 7.8279322E-002, 7.0009631E-002, 1.1021559E+000, 1.2991608E-001, 4.0000000E+000
 3.4000000E-002, 1.0044075E-001, 8.2863378E-002, 1.6580658E+000, 1.0712830E-001, 4.0000000E+000
 3.6000000E-002, 1.2775067E-001, 9.8807067E-002, 2.0562773E+000, 7.7123289E-002, 4.0000000E+000
 3.8000000E-002, 1.5782987E-001, 1.1655200E-001, 2.2884562E+000, 4.2989011E-002, 4.0000000E+000
