s,m/s,
Time,"error","iter"
 6.8733167E+000, 3.3203475E-003, 1.0000000E+000
 6.8859268E+000, 3.7062906E-003, 1.0000000E+000
 6.8985369E+000, 4.1096835E-003, 1.0000000E+000
 6.9111470E+000, 4.5145552E-003, 1.0000000E+000
 6.9237571E+000, 4.9020188E-003, 1.0000000E+000
 6.9363672E+000, 5.2532867E-003, 1.0000000E+000
 6.9489772E+000, 5.5524160E-003, 1.0000000E+000
 6.9615873E+000, 5.7879246E-003, 1.0000000E+000
 6.9741974E+000, 5.9534190E-003, 1.0000000E+000
 6.9868075E+000, 6.0469294E-003, 1.0000000E+000
 6.9994176E+000, 6.0698560E-003, 1.0000000E+000
 7.0120277E+000, 6.0258212E-003, 1.0000000E+000
 7.0246378E+000, 5.9197398E-003, 1.0000000E+000
 7.0372479E+000, 5.7573195E-003, 1.0000000E+000
 7.0498580E+000, 5.5448926E-003, 1.0000000E+000
 7.0624681E+000, 5.2894815E-003, 1.0000000E+000
 7.0750782E+000, 4.9989229E-003, 1.0000000E+000
 7.0876882E+000, 4.6819101E-003, 1.0000000E+000
 7.1002983E+000, 4.3478365E-003, 1.0000000E+000
 7.1129084E+000, 4.4279697E-003, 1.0000000E+000
 7.1255185E+000, 4.5139470E-003, 1.0000000E+000
 7.1381286E+000, 4.5693373E-003, 1.0000000E+000
 7.1507387E+000, 4.5928836E-003, 1.0000000E+000
 7.1633488E+000, 5.1057022E-003, 1.0000000E+000
 7.1759589E+000, 5.7092730E-003, 1.0000000E+000
 7.1885690E+000, 6.1830203E-003, 1.0000000E+000
 7.2011791E+000, 6.5083426E-003, 1.0000000E+000
 7.2137892E+000, 6.6742353E-003, 1.0000000E+000
 7.2263992E+000, 6.6781648E-003, 1.0000000E+000
 7.2390093E+000, 6.5263502E-003, 1.0000000E+000
 7.2516194E+000, 6.2333668E-003, 1.0000000E+000
 7.2642295E+000, 5.8210121E-003, 1.0000000E+000
 7.2768396E+000, 5.3163517E-003, 1.0000000E+000
 7.2894497E+000, 4.7492275E-003, 1.0000000E+000
 7.3020598E+000, 4.1495195E-003, 1.0000000E+000
 7.3146699E+000, 3.5444479E-003, 1.0000000E+000
 7.3272800E+000, 2.9563533E-003, 1.0000000E+000
 7.3398901E+000, 2.6668550E-003, 1.0000000E+000
 7.3525002E+000, 2.7244703E-003, 1.0000000E+000
 7.3651102E+000, 2.7631927E-003, 1.0000000E+000
 7.3777203E+000, 2.7841809E-003, 1.0000000E+000
 7.3903304E+000, 2.7881083E-003, 1.0000000E+000
 7.4029405E+000, 2.7751266E-003, 1.0000000E+000
 7.4155506E+000, 2.7449262E-003, 1.0000000E+000
 7.4281607E+000, 2.6968801E-003, 1.0000000E+000
 7.4407708E+000, 2.6302411E-003, 1.0000000E+000
 7.4533809E+000, 2.7647179E-003, 1.0000000E+000
 7.4659910E+000, 2.9233353E-003, 1.0000000E+000
 7.4786011E+000, 3.0691478E-003, 1.0000000E+000
 7.4912111E+000, 3.2032615E-003, 1.0000000E+000
 7.5038212E+000, 3.3254320E-003, 1.0000000E+000
 7.5164313E+000, 3.4340431E-003, 1.0000000E+000
 7.5277476E+000, 3.1869615E-003, 1.0000000E+000
 7.5390639E+000, 3.1423969E-003, 1.0000000E+000
 7.5503802E+000, 3.2114062E-003, 1.0000000E+000
 7.5616965E+000, 3.2666671E-003, 1.0000000E+000
 7.5730128E+000, 3.2447946E-003, 1.0000000E+000
 7.5843291E+000, 3.1516869E-003, 1.0000000E+000
 7.5956454E+000, 3.0215106E-003, 1.0000000E+000
 7.6069617E+000, 2.8795827E-003, 1.0000000E+000
 7.6194096E+000, 3.1079848E-003, 1.0000000E+000
 7.6318575E+000, 3.3675983E-003, 1.0000000E+000
 7.6455502E+000, 3.8325527E-003, 1.0000000E+000
 7.6592429E+000, 4.1323553E-003, 1.0000000E+000
 7.6729356E+000, 4.1777510E-003, 1.0000000E+000
 7.6866284E+000, 4.1145974E-003, 1.0000000E+000
 7.7003211E+000, 4.0374316E-003, 1.0000000E+000
 7.7140138E+000, 3.9709039E-003, 1.0000000E+000
 7.7277065E+000, 3.9105074E-003, 1.0000000E+000
 7.7413992E+000, 3.8456335E-003, 1.0000000E+000
 7.7537149E+000, 3.0388492E-003, 1.0000000E+000
 7.7660306E+000, 3.3045312E-003, 1.0000000E+000
 7.7783463E+000, 3.8002441E-003, 1.0000000E+000
 7.7906620E+000, 4.3487735E-003, 1.0000000E+000
 7.8029777E+000, 4.8856440E-003, 1.0000000E+000
 7.8152933E+000, 5.3981826E-003, 1.0000000E+000
 7.8276090E+000, 5.8869323E-003, 1.0000000E+000
 7.8399247E+000, 6.3534735E-003, 1.0000000E+000
 7.8522404E+000, 6.7989864E-003, 1.0000000E+000
 7.8645561E+000, 7.2228304E-003, 1.0000000E+000
 7.8768718E+000, 7.6192491E-003, 1.0000000E+000
 7.8904190E+000, 8.2609701E-003, 1.0000000E+000
 7.9039663E+000, 9.2250394E-003, 1.0000000E+000
 7.9175136E+000, 9.9742342E-003, 1.0000000E+000
 7.9310608E+000, 1.0242679E-002, 1.0000000E+000
 7.9446081E+000, 1.0037300E-002, 1.0000000E+000
 7.9581553E+000, 9.4563749E-003, 1.0000000E+000
 7.9699768E+000, 7.5159294E-003, 1.0000000E+000
 7.9817983E+000, 6.3857198E-003, 1.0000000E+000
 7.9936198E+000, 6.4445617E-003, 1.0000000E+000
 8.0042582E+000, 5.2879871E-003, 1.0000000E+000
 8.0148967E+000, 5.3855466E-003, 1.0000000E+000
 8.0255351E+000, 5.6171811E-003, 1.0000000E+000
 8.0361736E+000, 5.5356562E-003, 1.0000000E+000
 8.0468120E+000, 5.2541885E-003, 1.0000000E+000
 8.0574504E+000, 5.3659279E-003, 1.0000000E+000
 8.0669282E+000, 4.9201115E-003, 1.0000000E+000
 8.0764060E+000, 4.7073446E-003, 1.0000000E+000
 8.0858838E+000, 4.8079659E-003, 1.0000000E+000
 8.0953616E+000, 4.7087773E-003, 1.0000000E+000
 8.1048393E+000, 4.7854138E-003, 1.0000000E+000
 8.1143171E+000, 4.8493367E-003, 1.0000000E+000
 8.1237949E+000, 4.8766425E-003, 1.0000000E+000
 8.1332727E+000, 4.8671362E-003, 1.0000000E+000
 8.1427505E+000, 4.8352277E-003, 1.0000000E+000
 8.1522282E+000, 4.7951387E-003, 1.0000000E+000
 8.1617060E+000, 4.7518486E-003, 1.0000000E+000
 8.1711838E+000, 4.7011844E-003, 1.0000000E+000
 8.1806616E+000, 4.6350100E-003, 1.0000000E+000
 8.1901393E+000, 4.5463565E-003, 1.0000000E+000
 8.1996171E+000, 4.4320450E-003, 1.0000000E+000
 8.2090949E+000, 4.2930599E-003, 1.0000000E+000
 8.2195205E+000, 4.4113414E-003, 1.0000000E+000
 8.2299460E+000, 4.6368897E-003, 1.0000000E+000
 8.2403716E+000, 4.8041606E-003, 1.0000000E+000
 8.2495343E+000, 4.4571835E-003, 1.0000000E+000
 8.2586970E+000, 4.3490055E-003, 1.0000000E+000
 8.2678597E+000, 4.6073098E-003, 1.0000000E+000
 8.2770224E+000, 4.8935730E-003, 1.0000000E+000
 8.2861850E+000, 5.0011302E-003, 1.0000000E+000
 8.2953477E+000, 4.8993675E-003, 1.0000000E+000
 8.3045104E+000, 4.6403710E-003, 1.0000000E+000
 8.3136731E+000, 4.2918377E-003, 1.0000000E+000
 8.3218873E+000, 2.8939344E-003, 1.0000000E+000
 8.3301015E+000, 2.6315529E-003, 1.0000000E+000
 8.3383157E+000, 2.8641747E-003, 1.0000000E+000
 8.3465299E+000, 3.0294172E-003, 1.0000000E+000
 8.3547441E+000, 2.8587815E-003, 1.0000000E+000
 8.3629582E+000, 2.6230707E-003, 1.0000000E+000
 8.3711724E+000, 2.4602162E-003, 1.0000000E+000
 8.3793866E+000, 2.3833613E-003, 1.0000000E+000
 8.3884222E+000, 2.7899858E-003, 1.0000000E+000
 8.3974578E+000, 2.9703028E-003, 1.0000000E+000
 8.4064934E+000, 2.8356633E-003, 1.0000000E+000
 8.4155290E+000, 2.5864216E-003, 1.0000000E+000
 8.4245646E+000, 2.3407372E-003, 1.0000000E+000
 8.4336002E+000, 2.0997127E-003, 1.0000000E+000
 8.4426358E+000, 1.8549624E-003, 1.0000000E+000
 8.4516714E+000, 1.9776018E-003, 1.0000000E+000
 8.4607070E+000, 2.0346364E-003, 1.0000000E+000
 8.4697426E+000, 2.0289219E-003, 1.0000000E+000
 8.4787782E+000, 1.9650337E-003, 1.0000000E+000
 8.4878138E+000, 1.8488148E-003, 1.0000000E+000
 8.4968494E+000, 1.6880734E-003, 1.0000000E+000
 8.5058850E+000, 1.5584833E-003, 1.0000000E+000
 8.5149206E+000, 1.5759778E-003, 1.0000000E+000
 8.5239562E+000, 1.6521210E-003, 1.0000000E+000
 8.5329918E+000, 2.0686169E-003, 1.0000000E+000
 8.5420274E+000, 2.4868988E-003, 1.0000000E+000
 8.5510631E+000, 2.8875755E-003, 1.0000000E+000
 8.5600987E+000, 3.2480379E-003, 1.0000000E+000
 8.5700378E+000, 3.7705741E-003, 1.0000000E+000
 8.5799770E+000, 4.3585688E-003, 1.0000000E+000
 8.5899161E+000, 4.6695432E-003, 1.0000000E+000
 8.5998553E+000, 4.6394028E-003, 1.0000000E+000
 8.6097945E+000, 4.3375761E-003, 1.0000000E+000
 8.6197336E+000, 3.8450778E-003, 1.0000000E+000
 8.6296728E+000, 3.2150317E-003, 1.0000000E+000
 8.6396120E+000, 3.3196563E-003, 1.0000000E+000
 8.6495511E+000, 3.7724792E-003, 1.0000000E+000
 8.6594903E+000, 4.2215992E-003, 1.0000000E+000
 8.6694294E+000, 4.6398540E-003, 1.0000000E+000
 8.6793686E+000, 4.9988400E-003, 1.0000000E+000
 8.6893078E+000, 5.2738579E-003, 1.0000000E+000
 8.6992469E+000, 5.4477558E-003, 1.0000000E+000
 8.7091861E+000, 5.5118301E-003, 1.0000000E+000
 8.7191253E+000, 5.4646505E-003, 1.0000000E+000
 8.7290644E+000, 5.3102748E-003, 1.0000000E+000
 8.7390036E+000, 5.0568905E-003, 1.0000000E+000
 8.7489427E+000, 4.7159507E-003, 1.0000000E+000
 8.7588819E+000, 4.3016484E-003, 1.0000000E+000
 8.7688211E+000, 3.8303269E-003, 1.0000000E+000
 8.7787602E+000, 3.4254281E-003, 1.0000000E+000
 8.7886994E+000, 3.3854883E-003, 1.0000000E+000
 8.7986386E+000, 3.3271430E-003, 1.0000000E+000
 8.8085777E+000, 3.2540063E-003, 1.0000000E+000
 8.8185169E+000, 3.1682489E-003, 1.0000000E+000
 8.8284560E+000, 3.0712868E-003, 1.0000000E+000
 8.8383952E+000, 2.9644063E-003, 1.0000000E+000
 8.8483344E+000, 2.8492528E-003, 1.0000000E+000
 8.8582735E+000, 2.7280611E-003, 1.0000000E+000
 8.8682127E+000, 2.6035875E-003, 1.0000000E+000
 8.8781519E+000, 2.7995897E-003, 1.0000000E+000
 8.8880910E+000, 2.9905839E-003, 1.0000000E+000
 8.8980302E+000, 3.1413105E-003, 1.0000000E+000
 8.9079693E+000, 3.2478599E-003, 1.0000000E+000
 8.9179085E+000, 3.3090567E-003, 1.0000000E+000
 8.9278477E+000, 3.3261225E-003, 1.0000000E+000
 8.9377868E+000, 3.3020403E-003, 1.0000000E+000
 8.9477260E+000, 3.2407438E-003, 1.0000000E+000
 8.9576652E+000, 3.1462830E-003, 1.0000000E+000
 8.9676043E+000, 3.0220924E-003, 1.0000000E+000
 8.9775435E+000, 2.8705406E-003, 1.0000000E+000
 8.9874826E+000, 2.6926723E-003, 1.0000000E+000
 8.9974218E+000, 2.4883710E-003, 1.0000000E+000
 9.0073610E+000, 2.2567232E-003, 1.0000000E+000
 9.0173001E+000, 2.0748350E-003, 1.0000000E+000
 9.0272393E+000, 2.0694452E-003, 1.0000000E+000
 9.0371785E+000, 2.0534979E-003, 1.0000000E+000
 9.0471176E+000, 2.0272244E-003, 1.0000000E+000
 9.0570568E+000, 1.9908652E-003, 1.0000000E+000
 9.0669959E+000, 1.9445539E-003, 1.0000000E+000
 9.0769351E+000, 1.8882850E-003, 1.0000000E+000
 9.0868743E+000, 1.8218896E-003, 1.0000000E+000
 9.0968134E+000, 1.7450650E-003, 1.0000000E+000
 9.1067526E+000, 1.8193821E-003, 1.0000000E+000
 9.1166918E+000, 2.2114241E-003, 1.0000000E+000
 9.1266309E+000, 2.5799883E-003, 1.0000000E+000
 9.1365701E+000, 2.9169258E-003, 1.0000000E+000
 9.1465092E+000, 3.2154493E-003, 1.0000000E+000
 9.1564484E+000, 3.4702805E-003, 1.0000000E+000
 9.1663876E+000, 3.7441976E-003, 1.0000000E+000
 9.1763267E+000, 4.0432647E-003, 1.0000000E+000
 9.1862659E+000, 4.3074444E-003, 1.0000000E+000
 9.1962051E+000, 4.5324944E-003, 1.0000000E+000
 9.2061442E+000, 4.7138981E-003, 1.0000000E+000
 9.2160834E+000, 4.8470034E-003, 1.0000000E+000
 9.2260225E+000, 4.9272754E-003, 1.0000000E+000
 9.2359617E+000, 4.9506383E-003, 1.0000000E+000
 9.2459009E+000, 4.9138555E-003, 1.0000000E+000
 9.2558400E+000, 4.8149189E-003, 1.0000000E+000
 9.2657792E+000, 4.6533670E-003, 1.0000000E+000
 9.2757184E+000, 4.4305022E-003, 1.0000000E+000
 9.2856575E+000, 4.1494626E-003, 1.0000000E+000
 9.2955967E+000, 3.8151449E-003, 1.0000000E+000
 9.3055359E+000, 3.4339811E-003, 1.0000000E+000
 9.3154750E+000, 3.4117209E-003, 1.0000000E+000
 9.3254142E+000, 3.3787724E-003, 1.0000000E+000
 9.3353533E+000, 3.3443238E-003, 1.0000000E+000
 9.3452925E+000, 3.3455808E-003, 1.0000000E+000
 9.3552317E+000, 3.3122765E-003, 1.0000000E+000
 9.3651708E+000, 3.2442903E-003, 1.0000000E+000
 9.3751100E+000, 3.1413592E-003, 1.0000000E+000
 9.3850492E+000, 3.0029256E-003, 1.0000000E+000
 9.3949883E+000, 2.8280798E-003, 1.0000000E+000
 9.4049275E+000, 2.6156404E-003, 1.0000000E+000
 9.4148666E+000, 2.3643409E-003, 1.0000000E+000
 9.4248058E+000, 2.0731655E-003, 1.0000000E+000
 9.4347450E+000, 2.3169395E-003, 1.0000000E+000
 9.4446841E+000, 2.6335324E-003, 1.0000000E+000
 9.4546233E+000, 2.9079596E-003, 1.0000000E+000
 9.4645625E+000, 3.1336410E-003, 1.0000000E+000
 9.4745016E+000, 3.3053274E-003, 1.0000000E+000
 9.4844408E+000, 3.4192846E-003, 1.0000000E+000
 9.4943799E+000, 3.4733474E-003, 1.0000000E+000
 9.5043191E+000, 3.4671969E-003, 1.0000000E+000
 9.5142583E+000, 3.4019105E-003, 1.0000000E+000
 9.5241974E+000, 3.2800670E-003, 1.0000000E+000
 9.5341366E+000, 3.1055843E-003, 1.0000000E+000
 9.5440758E+000, 3.3604317E-003, 1.0000000E+000
 9.5540149E+000, 3.7534780E-003, 1.0000000E+000
 9.5639541E+000, 4.1022346E-003, 1.0000000E+000
 9.5738932E+000, 4.4035591E-003, 1.0000000E+000
 9.5838324E+000, 4.6558723E-003, 1.0000000E+000
 9.5937716E+000, 4.8588797E-003, 1.0000000E+000
 9.6037107E+000, 5.0132502E-003, 1.0000000E+000
 9.6146438E+000, 5.4310995E-003, 1.0000000E+000
 9.6255769E+000, 5.8841950E-003, 1.0000000E+000
 9.6365100E+000, 6.2055668E-003, 1.0000000E+000
 9.6474430E+000, 6.3509700E-003, 1.0000000E+000
 9.6583761E+000, 6.3243092E-003, 1.0000000E+000
 9.6693092E+000, 6.1512840E-003, 1.0000000E+000
 9.6802423E+000, 5.8712057E-003, 1.0000000E+000
 9.6911754E+000, 5.5281864E-003, 1.0000000E+000
 9.7021084E+000, 5.1606300E-003, 1.0000000E+000
 9.7130415E+000, 4.7942520E-003, 1.0000000E+000
 9.7239746E+000, 4.4412711E-003, 1.0000000E+000
 9.7349077E+000, 4.1044884E-003, 1.0000000E+000
 9.7458408E+000, 3.7827931E-003, 1.0000000E+000
 9.7567738E+000, 3.4750917E-003, 1.0000000E+000
 9.7677069E+000, 3.5023264E-003, 1.0000000E+000
 9.7786400E+000, 4.0625309E-003, 1.0000000E+000
 9.7895731E+000, 4.5539235E-003, 1.0000000E+000
 9.8005061E+000, 4.9537498E-003, 1.0000000E+000
 9.8114392E+000, 5.2440752E-003, 1.0000000E+000
 9.8223723E+000, 5.4130830E-003, 1.0000000E+000
 9.8333054E+000, 5.4558884E-003, 1.0000000E+000
 9.8442385E+000, 5.3747122E-003, 1.0000000E+000
 9.8551715E+000, 5.1783493E-003, 1.0000000E+000
 9.8671979E+000, 5.0993310E-003, 1.0000000E+000
 9.8792243E+000, 5.0483123E-003, 1.0000000E+000
 9.8912507E+000, 4.7595614E-003, 1.0000000E+000
 9.9032771E+000, 4.2422331E-003, 1.0000000E+000
 9.9153035E+000, 4.0526430E-003, 1.0000000E+000
 9.9273299E+000, 4.1938420E-003, 1.0000000E+000
 9.9393563E+000, 5.0430935E-003, 1.0000000E+000
 9.9513826E+000, 5.8550289E-003, 1.0000000E+000
 9.9634090E+000, 6.5765793E-003, 1.0000000E+000
 9.9754354E+000, 7.1550563E-003, 1.0000000E+000
 9.9874618E+000, 7.5509851E-003, 1.0000000E+000
 9.9994882E+000, 7.7409906E-003, 1.0000000E+000
 1.0000000E+001, 3.6982924E-003, 1.0000000E+000
