s,m/s,
Time,"error","iter"
 3.4988962E+000, 3.8532742E-003, 1.0000000E+000
 3.5115914E+000, 3.5983120E-003, 1.0000000E+000
 3.5242865E+000, 3.3895620E-003, 1.0000000E+000
 3.5369817E+000, 3.2146454E-003, 1.0000000E+000
 3.5496769E+000, 3.2610902E-003, 1.0000000E+000
 3.5636416E+000, 3.7989249E-003, 1.0000000E+000
 3.5776063E+000, 4.1066061E-003, 1.0000000E+000
 3.5915710E+000, 3.9405082E-003, 1.0000000E+000
 3.6055356E+000, 3.4632784E-003, 1.0000000E+000
 3.6195003E+000, 2.8374584E-003, 1.0000000E+000
 3.6348615E+000, 2.5296408E-003, 1.0000000E+000
 3.6502226E+000, 2.1171443E-003, 1.0000000E+000
 3.6655838E+000, 1.6977984E-003, 1.0000000E+000
 3.6809450E+000, 1.5325902E-003, 1.0000000E+000
 3.6963061E+000, 2.5846925E-003, 1.0000000E+000
 3.7116673E+000, 3.8525186E-003, 1.0000000E+000
 3.7270284E+000, 4.8736390E-003, 1.0000000E+000
 3.7423896E+000, 5.6219100E-003, 1.0000000E+000
 3.7577508E+000, 6.0733703E-003, 1.0000000E+000
 3.7731119E+000, 6.2172910E-003, 1.0000000E+000
 3.7884731E+000, 6.0677276E-003, 1.0000000E+000
 3.8038342E+000, 5.6646309E-003, 1.0000000E+000
 3.8191954E+000, 5.0661857E-003, 1.0000000E+000
 3.8345565E+000, 4.3377106E-003, 1.0000000E+000
 3.8499177E+000, 3.5413820E-003, 1.0000000E+000
 3.8652789E+000, 3.1202112E-003, 1.0000000E+000
 3.8806400E+000, 3.2134992E-003, 1.0000000E+000
 3.8960012E+000, 3.2747617E-003, 1.0000000E+000
 3.9113623E+000, 3.2996248E-003, 1.0000000E+000
 3.9267235E+000, 3.2857346E-003, 1.0000000E+000
 3.9420846E+000, 3.2328046E-003, 1.0000000E+000
 3.9574458E+000, 3.1425105E-003, 1.0000000E+000
 3.9728070E+000, 3.3971092E-003, 1.0000000E+000
 3.9881681E+000, 4.0423741E-003, 1.0000000E+000
 4.0035293E+000, 4.5311290E-003, 1.0000000E+000
 4.0188904E+000, 4.8363670E-003, 1.0000000E+000
 4.0342516E+000, 4.9446376E-003, 1.0000000E+000
 4.0496128E+000, 4.8565619E-003, 1.0000000E+000
 4.0649739E+000, 4.5863876E-003, 1.0000000E+000
 4.0803351E+000, 4.1605212E-003, 1.0000000E+000
 4.0956962E+000, 3.6150711E-003, 1.0000000E+000
 4.1110574E+000, 3.6566111E-003, 1.0000000E+000
 4.1264185E+000, 3.7546585E-003, 1.0000000E+000
 4.1417797E+000, 3.8446701E-003, 1.0000000E+000
 4.1571409E+000, 3.9169075E-003, 1.0000000E+000
 4.1725020E+000, 3.9621134E-003, 1.0000000E+000
 4.1878632E+000, 3.9727054E-003, 1.0000000E+000
 4.2032243E+000, 3.9437721E-003, 1.0000000E+000
 4.2185855E+000, 3.8737324E-003, 1.0000000E+000
 4.2339467E+000, 3.7645594E-003, 1.0000000E+000
 4.2493078E+000, 3.6215302E-003, 1.0000000E+000
 4.2646690E+000, 3.4525282E-003, 1.0000000E+000
 4.2800301E+000, 3.2669913E-003, 1.0000000E+000
 4.2953913E+000, 3.0746593E-003, 1.0000000E+000
 4.3107524E+000, 2.9519923E-003, 1.0000000E+000
 4.3261136E+000, 3.1264991E-003, 1.0000000E+000
 4.3414748E+000, 3.2654169E-003, 1.0000000E+000
 4.3568359E+000, 3.3724878E-003, 1.0000000E+000
 4.3721971E+000, 3.4527184E-003, 1.0000000E+000
 4.3875582E+000, 3.5116453E-003, 1.0000000E+000
 4.4029194E+000, 3.5546107E-003, 1.0000000E+000
 4.4182805E+000, 3.5861498E-003, 1.0000000E+000
 4.4336417E+000, 3.6095691E-003, 1.0000000E+000
 4.4490029E+000, 3.6267566E-003, 1.0000000E+000
 4.4643640E+000, 3.6382176E-003, 1.0000000E+000
 4.4797252E+000, 3.6432955E-003, 1.0000000E+000
 4.4950863E+000, 3.6405078E-003, 1.0000000E+000
 4.5104475E+000, 3.6279242E-003, 1.0000000E+000
 4.5258087E+000, 3.6035192E-003, 1.0000000E+000
 4.5411698E+000, 3.5654591E-003, 1.0000000E+000
 4.5565310E+000, 3.5123032E-003, 1.0000000E+000
 4.5718921E+000, 3.4431003E-003, 1.0000000E+000
 4.5872533E+000, 3.3574992E-003, 1.0000000E+000
